New Trolley Inventory?,Variance Rank by Destination,Variance,Avg Price per Product,Date,Product,first_name,last_name,email,Price,Destination
True,1,37.075319149,22.674680851,25/09/2021,Longos,Corry,Dalli,cdalli5z@gizmodo.com,59.75,Paris
True,2,36.939886364,22.000113636,20/09/2021,Pastry,Othello,Dudson,odudson86@addthis.com,58.94,Paris
True,3,36.87,21.91,09/09/2021,Swiss Chard,Marleah,Phillippo,mphillippom2@creativecommons.org,58.78,Paris
True,4,36.342758621,23.517241379,26/09/2021,Tart Shells,Vite,Airdrie,vairdrie4y@netvibes.com,59.86,Paris
True,5,36.325555556,21.844444444,06/10/2021,Appetizer,Millisent,Patria,mpatriahu@howstuffworks.com,58.17,Paris
False,1,21.5525,15.3475,31/05/2021,Tobasco Sauce,Tadeo,Hammor,thammor43@washingtonpost.com,36.9,Paris
False,2,20.661666667,19.178333333,08/02/2021,Aromat Spice / Seasoning,Honey,McGready,hmcgready3d@aboutads.info,39.84,Paris
False,3,19.892,16.798,09/04/2021,Cattail Hearts,Forester,Dotterill,fdotterill3u@google.com.au,36.69,Paris
False,4,19.193333333,19.726666667,07/03/2021,Towel,Marcile,Richley,mrichleyi5@bing.com,38.92,Paris
False,5,18.21,17.49,21/05/2021,Pie Box,Lenee,Crompton,lcrompton5v@howstuffworks.com,35.7,Paris
False,1,20.912,16.178,31/03/2021,Pur Source,Shaun,Iston,siston4b@reuters.com,37.09,Edinburgh
False,2,19.966666667,17.253333333,07/04/2021,Cookie Choc,Gardiner,von Nassau,gvonnassaume@boston.com,37.22,Edinburgh
False,3,18.459693878,21.320306122,25/03/2021,Oil,Algernon,Trood,atroodfp@cdbaby.com,39.78,Edinburgh
False,4,17.34,18.85,30/01/2021,"Chilli Paste, Hot Sambal Oelek",Tresa,Shawe,tshaweag@paginegialle.it,36.19,Edinburgh
False,5,17.203333333,21.706666667,05/02/2021,Dry Ice,Etienne,Blemings,eblemingsc2@walmart.com,38.91,Edinburgh
True,1,37.655161290,21.814838710,30/09/2021,Milk,Kylynn,Goudge,kgoudge53@howstuffworks.com,59.47,Edinburgh
True,2,36.352142857,18.227857143,23/10/2021,Puree,Cornelius,Horney,chorneyds@seattletimes.com,54.58,Edinburgh
True,3,35.464739884,23.845260116,18/09/2021,Wine,Gunther,Stowell,gstowellj@histats.com,59.31,Edinburgh
True,4,34.804739884,23.845260116,09/09/2021,Wine,Lyn,Rubinowitz,lrubinowitzjz@usa.gov,58.65,Edinburgh
True,5,34.648805970,22.541194030,03/08/2021,Beer,Martyn,Dace,mdace2l@soup.io,57.19,Edinburgh
True,1,38.326666667,21.093333333,18/10/2021,Chevril,Luther,Maiklem,lmaiklem6t@nature.com,59.42,Perth
True,2,37.673571429,20.596428571,14/07/2021,Grapes,Gualterio,Barks,gbarksbd@angelfire.com,58.27,Perth
True,3,36.820452830,23.129547170,03/10/2021,Bread,Jacquenetta,Norres,jnorresr6@geocities.jp,59.95,Perth
True,4,35.949886364,22.000113636,03/09/2021,Pastry,Willow,Chapelle,wchapelle9q@deviantart.com,57.95,Perth
True,5,35.928479730,23.361520270,23/08/2021,Cheese,Veronika,Fitzsymonds,vfitzsymondsr0@hud.gov,59.29,Perth
False,1,25.918,12.702,12/01/2021,Allspice,Lockwood,Boydon,lboydonhc@wisc.edu,38.62,New York
False,2,22.47,13.72,07/04/2021,Bay Leaf Fresh,Dorie,Loadsman,dloadsmanem@irs.gov,36.19,New York
False,3,22.21,15.5,27/02/2021,Garbage Bag,Pegeen,Swindells,pswindellsma@google.com,37.71,New York
False,4,22.1575,17.4125,04/04/2021,Pancetta,Wyndham,Magrannell,wmagrannellm0@columbia.edu,39.57,New York
False,5,20.699375,18.770625,11/05/2021,Salmon,Cord,Lamswood,clamswoodo7@weibo.com,39.47,New York
False,1,22.955,15.515,13/01/2021,Blue Curacao,Torr,Weeden,tweeden6p@ebay.co.uk,38.47,Perth
False,2,22.673333333,15.756666667,11/05/2021,Yoplait Drink,Brinna,O'Nion,bonion8b@hubpages.com,38.43,Perth
False,3,21.243333333,17.636666667,12/04/2021,Avocado,Bert,Crosskell,bcrosskelloj@apple.com,38.88,Perth
False,4,21.132,18.748,02/01/2021,Seedlings,Roger,Meaker,rmeaker4g@google.co.jp,39.88,Perth
False,5,20.5075,11.1225,16/05/2021,Steam Pan,Victor,Welden,vwelden9u@theglobeandmail.com,31.63,Perth
True,1,42.8075,16.5025,25/10/2021,Chicken Thigh,Izaak,Pasmore,ipasmore1w@ehow.com,59.31,New York
True,2,37.849104478,21.980895522,17/09/2021,Tea,Zarah,Tyce,ztycei2@senate.gov,59.83,New York
True,3,37.341551724,21.798448276,12/07/2021,Island Oasis,Damiano,Mouan,dmouanq7@woothemes.com,59.14,New York
True,4,37.339886364,22.000113636,10/10/2021,Pastry,Yvor,Smerdon,ysmerdonhr@imgur.com,59.34,New York
True,5,36.831333333,20.228666667,22/09/2021,Container,Crissie,Hariot,chariot47@squidoo.com,57.06,New York
False,1,25.05,14.95,27/02/2021,Rice Paper,Pooh,Bindley,pbindley9p@ebay.com,40,London
False,2,23.96,11.5,25/02/2021,Milk 2% 500 Ml,Aylmar,Caldron,acaldronqk@walmart.com,35.46,London
False,3,23.2,15.9,07/02/2021,Neckerchief Blck,Ellissa,Lumbley,elumbley3x@elpais.com,39.1,London
False,4,22.864,14.746,11/01/2021,Towel Multifold,Sean,Ivashev,sivashevje@stumbleupon.com,37.61,London
False,5,21.51375,17.95625,20/03/2021,Clams,Bryn,Ickovici,bickovicik6@archive.org,39.47,London
True,1,40.292,17.968,10/09/2021,Beef Ground Medium,Putnam,Fontin,pfontinjb@salon.com,58.26,London
True,2,38.3562,19.9738,15/07/2021,Cake,Dione,Morales,dmorales5m@posterous.com,58.33,London
True,3,38.102727273,21.537272727,17/08/2021,Spinach,Magnum,Ainslee,mainsleeaz@springer.com,59.64,London
