Name,Payment Date,Monthly Cost,Cumulative Monthly Cost
Jonathan,22/02/2019,15,15
Jonathan,22/03/2019,15,30
Jonathan,22/04/2019,15,45
Jonathan,22/05/2019,15,60
Jonathan,22/06/2019,15,75
Jonathan,22/07/2019,15,90
Sophie,19/11/2018,30,30
Sophie,19/12/2018,30,60
Sophie,19/01/2019,30,90
Sophie,19/02/2019,30,120
Sophie,19/03/2019,30,150
Sophie,19/04/2019,30,180
Sophie,19/05/2019,30,210
Sophie,19/06/2019,30,240
Sophie,19/07/2019,30,270
Sophie,19/08/2019,30,300
Sophie,19/09/2019,30,330
Sophie,19/10/2019,30,360
Andy,17/10/2018,45,45
Andy,17/11/2018,45,90
Andy,17/12/2018,45,135
Andy,17/01/2019,45,180
Andy,17/02/2019,45,225
Andy,17/03/2019,45,270
Andy,17/04/2019,45,315
Andy,17/05/2019,45,360
Andy,17/06/2019,45,405
Andy,17/07/2019,45,450
Andy,17/08/2019,45,495
Andy,17/09/2019,45,540
Carl,13/12/2018,20,20
Carl,13/01/2019,20,40
Carl,13/02/2019,20,60
Carl,13/03/2019,20,80
Carl,13/04/2019,20,100
Carl,13/05/2019,20,120
Carl,13/06/2019,20,140
Carl,13/07/2019,20,160
Carl,13/08/2019,20,180
Carl,13/09/2019,20,200
Carl,13/10/2019,20,220
Carl,13/11/2019,20,240
Carl,13/12/2019,20,260
Carl,13/01/2020,20,280
Carl,13/02/2020,20,300
Carl,13/03/2020,20,320
Carl,13/04/2020,20,340
Carl,13/05/2020,20,360
Carl,13/06/2020,20,380
Carl,13/07/2020,20,400
Carl,13/08/2020,20,420
Carl,13/09/2020,20,440
Carl,13/10/2020,20,460
Carl,13/11/2020,20,480
