Name,Date,Annual Salary,Sales
Carl,01/04/2020,16000,632
Carl,01/05/2020,16000,1085
Carl,01/06/2020,16000,1856
Carl,01/07/2020,16000,647
Carl,01/08/2020,16000,776
Carl,01/09/2020,16000,1671
Carl,01/10/2020,16000,357
Carl,01/11/2020,16000,339
Carl,01/12/2020,16000,1932
Carl,01/01/2021,18000,2207
Carl,01/02/2021,18000,2649
Carl,01/03/2021,18000,1552
Carl,01/04/2021,18000,1012
Carl,01/05/2021,18000,2126
Carl,01/06/2021,18000,2929
Carl,01/07/2021,18000,2399
Carl,01/08/2021,18000,1720
Carl,01/09/2021,18000,2996
Carl,01/10/2021,18000,2870
Carl,01/11/2021,18000,2829
Carl,01/12/2021,18000,1976
Carl,01/01/2022,19000,1923
Carl,01/02/2022,19000,2087
Carl,01/03/2022,19000,2785
Jenny,01/07/2020,18000,1354
Jenny,01/08/2020,18000,1656
Jenny,01/09/2020,18000,2145
Jenny,01/10/2020,18000,699
Jenny,01/11/2020,18000,2586
Jenny,01/12/2020,18000,2473
Jenny,01/01/2021,18500,1799
Jenny,01/02/2021,18500,2002
Jenny,01/03/2021,18500,1031
Jenny,01/04/2021,18500,2821
Jenny,01/05/2021,18500,2582
Jenny,01/06/2021,18500,2884
Jenny,01/07/2021,18500,1904
Jenny,01/08/2021,18500,2822
Jenny,01/09/2021,18500,2812
Jenny,01/10/2021,18500,1384
Jenny,01/11/2021,18500,1149
Tom,01/11/2020,14500,2897
Tom,01/12/2020,14500,2654
Tom,01/01/2021,16000,2103
Tom,01/02/2021,16000,1312
Tom,01/03/2021,16000,2090
Tom,01/04/2021,16000,1098
Tom,01/05/2021,16000,2148
Tom,01/06/2021,16000,1414
Tom,01/07/2021,16000,1044
Tom,01/08/2021,16000,1300
Tom,01/09/2021,16000,2320
Tom,01/10/2021,16000,2474
Tom,01/11/2021,16000,2154
Tom,01/12/2021,16000,2931
Tom,01/01/2022,17500,326
Tom,01/02/2022,17500,1499
Tom,01/03/2022,17500,1039
Tom,01/04/2022,17500,2544
Tom,01/05/2022,17500,2477
Toni,01/10/2019,21000,1780
Toni,01/11/2019,21000,322
Toni,01/12/2019,21000,583
Toni,01/01/2020,21000,1782
Toni,01/02/2020,21000,508
Toni,01/03/2020,21000,838
Toni,01/04/2020,21000,616
Toni,01/05/2020,21000,1856
Toni,01/06/2020,21000,909
Toni,01/07/2020,21000,426
Toni,01/08/2020,21000,1750
Toni,01/09/2020,21000,1839
