Name,Employment Range,Reporting Year,Tenure by End of Reporting Year,Salary Paid,Yearly Bonus,Total Paid
Toni,Oct 2019 to Sep 2020,2020,12,15750,526.2,16276
Jenny,Jul 2020 to Nov 2021,2021,17,16958.33,1159.5,18118
Tom,Nov 2020 to May 2022,2021,14,16000,1119.4,17119
Carl,Apr 2020 to Mar 2022,2020,9,12000,464.75,12465
Jenny,Jul 2020 to Nov 2021,2020,6,9000,545.65,9546
Carl,Apr 2020 to Mar 2022,2021,21,18000,1363.25,19363
Toni,Oct 2019 to Sep 2020,2019,3,5250,134.25,5384
Carl,Apr 2020 to Mar 2022,2022,24,4750,339.75,5090
Tom,Nov 2020 to May 2022,2022,19,7291.67,394.25,7686
Tom,Nov 2020 to May 2022,2020,2,2416.67,277.55,2694
