Name,Employment Range,Reporting Year,Tenure by End of Reporting Year,Salary Paid,Yearly Bonus,Total Paid
Carl,Apr 2020 to Mar 2022,2020,9,12000.0,464.75,12465.0
Carl,Apr 2020 to Mar 2022,2021,21,18000.0,1363.25,19363.0
Carl,Apr 2020 to Mar 2022,2022,24,4750.0,339.75,5090.0
Jenny,Jul 2020 to Nov 2021,2020,6,9000.0,545.65,9546.0
Jenny,Jul 2020 to Nov 2021,2021,17,16958.33,1159.5,18118.0
Tom,Nov 2020 to May 2022,2020,2,2416.67,277.55,2694.0
Tom,Nov 2020 to May 2022,2021,14,16000.0,1119.4,17119.0
Tom,Nov 2020 to May 2022,2022,19,7291.67,394.25,7686.0
Toni,Oct 2019 to Sep 2020,2019,3,5250.0,134.25,5384.0
Toni,Oct 2019 to Sep 2020,2020,12,15750.0,526.2,16276.0
