Salesperson,Date,Bike Type,Sales,YTD Total
Carl,01/10/2021,Road,60.0,32768.0
Carl,02/10/2021,Road,48.0,32768.0
Carl,03/10/2021,Road,87.0,32768.0
Carl,04/10/2021,Road,4.0,32768.0
Carl,05/10/2021,Road,57.0,32768.0
Carl,06/10/2021,Road,31.0,32768.0
Carl,07/10/2021,Road,63.0,32768.0
Carl,08/10/2021,Road,49.0,32768.0
Carl,09/10/2021,Road,84.0,32768.0
Carl,10/10/2021,Road,85.0,32768.0
Carl,11/10/2021,Road,25.0,32768.0
Carl,12/10/2021,Road,54.0,32768.0
Carl,13/10/2021,Road,41.0,32768.0
Carl,14/10/2021,Road,56.0,32768.0
Carl,15/10/2021,Road,76.0,32768.0
Carl,16/10/2021,Road,100.0,32768.0
Carl,17/10/2021,Road,12.0,32768.0
Carl,18/10/2021,Road,3.0,32768.0
Carl,19/10/2021,Road,38.0,32768.0
Carl,20/10/2021,Road,58.0,32768.0
Carl,21/10/2021,Road,38.0,32768.0
Carl,22/10/2021,Road,6.0,32768.0
Carl,23/10/2021,Road,14.0,32768.0
Carl,24/10/2021,Road,51.0,32768.0
Carl,25/10/2021,Road,26.0,32768.0
Carl,26/10/2021,Road,26.0,32768.0
Carl,27/10/2021,Road,57.0,32768.0
Carl,28/10/2021,Road,27.0,32768.0
Carl,29/10/2021,Road,76.0,32768.0
Carl,30/10/2021,Road,7.0,32768.0
Carl,31/10/2021,Road,81.0,32768.0
Ollie,01/10/2021,Road,18.0,45627.0
Ollie,02/10/2021,Road,74.0,45627.0
Ollie,03/10/2021,Road,87.0,45627.0
Ollie,04/10/2021,Road,91.0,45627.0
Ollie,05/10/2021,Road,50.0,45627.0
Ollie,06/10/2021,Road,62.0,45627.0
Ollie,07/10/2021,Road,5.0,45627.0
Ollie,08/10/2021,Road,88.0,45627.0
Ollie,09/10/2021,Road,63.0,45627.0
Ollie,10/10/2021,Road,73.0,45627.0
Ollie,11/10/2021,Road,95.0,45627.0
Ollie,12/10/2021,Road,5.0,45627.0
Ollie,13/10/2021,Road,35.0,45627.0
Ollie,14/10/2021,Road,81.0,45627.0
Ollie,15/10/2021,Road,34.0,45627.0
Ollie,16/10/2021,Road,86.0,45627.0
Ollie,17/10/2021,Road,48.0,45627.0
Ollie,18/10/2021,Road,24.0,45627.0
Ollie,19/10/2021,Road,54.0,45627.0
Ollie,20/10/2021,Road,58.0,45627.0
Ollie,21/10/2021,Road,6.0,45627.0
Ollie,22/10/2021,Road,71.0,45627.0
Ollie,23/10/2021,Road,42.0,45627.0
Ollie,24/10/2021,Road,95.0,45627.0
Ollie,25/10/2021,Road,84.0,45627.0
Ollie,26/10/2021,Road,84.0,45627.0
Ollie,27/10/2021,Road,26.0,45627.0
Ollie,28/10/2021,Road,71.0,45627.0
Ollie,29/10/2021,Road,36.0,45627.0
Ollie,30/10/2021,Road,30.0,45627.0
Ollie,31/10/2021,Road,1.0,45627.0
Lorna,01/10/2021,Road,90.0,64704.0
Lorna,02/10/2021,Road,37.0,64704.0
Lorna,03/10/2021,Road,96.0,64704.0
Lorna,04/10/2021,Road,84.0,64704.0
Lorna,05/10/2021,Road,81.0,64704.0
Lorna,06/10/2021,Road,66.0,64704.0
Lorna,07/10/2021,Road,88.0,64704.0
Lorna,08/10/2021,Road,60.0,64704.0
Lorna,09/10/2021,Road,93.0,64704.0
Lorna,10/10/2021,Road,69.0,64704.0
Lorna,11/10/2021,Road,55.0,64704.0
Lorna,12/10/2021,Road,0.0,64704.0
Lorna,13/10/2021,Road,21.0,64704.0
Lorna,14/10/2021,Road,100.0,64704.0
Lorna,15/10/2021,Road,81.0,64704.0
Lorna,16/10/2021,Road,61.0,64704.0
Lorna,17/10/2021,Road,29.0,64704.0
Lorna,18/10/2021,Road,85.0,64704.0
Lorna,19/10/2021,Road,1.0,64704.0
Lorna,20/10/2021,Road,93.0,64704.0
Lorna,21/10/2021,Road,54.0,64704.0
Lorna,22/10/2021,Road,31.0,64704.0
Lorna,23/10/2021,Road,51.0,64704.0
Lorna,24/10/2021,Road,2.0,64704.0
Lorna,25/10/2021,Road,3.0,64704.0
Lorna,26/10/2021,Road,75.0,64704.0
Lorna,27/10/2021,Road,13.0,64704.0
Lorna,28/10/2021,Road,33.0,64704.0
Lorna,29/10/2021,Road,56.0,64704.0
Lorna,30/10/2021,Road,90.0,64704.0
Lorna,31/10/2021,Road,19.0,64704.0
Jenny,01/10/2021,Road,64.0,20707.0
Jenny,02/10/2021,Road,60.0,20707.0
Jenny,03/10/2021,Road,60.0,20707.0
Jenny,04/10/2021,Road,12.0,20707.0
Jenny,05/10/2021,Road,10.0,20707.0
Jenny,06/10/2021,Road,95.0,20707.0
Jenny,07/10/2021,Road,0.0,20707.0
