OrderID,Customer,Order Date,Return State,Category,Sub-Category,Product Name,Unit Price,Quantity
Edinburgh-1347,Mr Schneider,24/01/2021,,Furniture,Bookcases,Bookcase,£60.07,7
Newcastle-1924,Mrs Balk,15/01/2021,,Furniture,Bookcases,Bookcase,£60.07,7
London-2097,Mrs Foster,07/01/2021,,Furniture,Bookcases,Bookcase,£60.07,10
London-1704,Mr Badders,14/01/2021,,Furniture,Chairs,Armless Task Chair,£37.75,11
Bristol-1911,Mr Norvell,23/01/2021,Return Processed,Furniture,Chairs,Armless Task Chair,£37.75,4
Edinburgh-1965,Mr Farhat,16/01/2021,,Furniture,Chairs,Armless Task Chair,£37.75,3
London-1259,Mr Bensley,20/01/2021,,Furniture,Chairs,Leather Highback Executive Chair,£96.82,5
York-1105,Mr Sunley,23/01/2021,,Furniture,Chairs,Task/Swivel Chairs,£43.29,7
London-1141,Mr Crebassa,30/01/2021,Return Processed,Furniture,Chairs,Task/Swivel Chairs,£43.29,7
Edinburgh-1984,Mrs Etezadi,13/01/2021,,Furniture,Chairs,Task/Swivel Chairs,£43.29,3
London-1985,Mr Creighton,13/01/2021,,Furniture,Chairs,Task/Swivel Chairs,£43.29,11
York-1194,Mr Peterman,14/01/2021,,Furniture,Chairs,Operator's Chair,£20.87,10
York-1139,Mr Bzostek,30/01/2021,Return Processed,Furniture,Chairs,Folding Chairs,£15.69,9
Newcastle-1193,Mrs Nunn,14/01/2021,,Furniture,Furnishings,Round Wall Clock,£8.80,3
Bristol-1431,Mr Baird,26/01/2021,Return Processed,Furniture,Furnishings,Round Wall Clock,£8.80,7
Edinburgh-1411,Mr Akin,21/01/2021,Return Processed,Furniture,Furnishings,Stackable Tray,£2.60,3
York-1432,Mrs Wener,26/01/2021,Return Processed,Furniture,Furnishings,Stackable Tray,£2.60,7
Edinburgh-1914,Mr McGuire,23/01/2021,Return Processed,Furniture,Furnishings,Stackable Tray,£2.60,5
Edinburgh-1221,Mr Norvell,02/01/2021,,Furniture,Furnishings,Desk Lamp Bulbs,£10.00,5
London-1275,Mr Brumley,12/01/2021,,Furniture,Furnishings,Desk Lamp Bulbs,£10.00,3
Edinburgh-1586,Mr Cartwright,30/01/2021,Return Processed,Furniture,Furnishings,Desk Lamp Bulbs,£10.00,11
London-2016,Mr Rosenberg,28/01/2021,,Furniture,Furnishings,Desk Lamp Bulbs,£10.00,4
Newcastle-1705,Mr Bremer,14/01/2021,Return Processed,Furniture,Furnishings,Desk Lamp,£19.99,11
Newcastle-1703,Mrs McFarland,14/01/2021,,Furniture,Tables,Solid Wood Round Tables,£264.46,8
Edinburgh-1912,Mr Morse,23/01/2021,,Furniture,Tables,Solid Wood Round Tables,£264.46,5
York-1132,Mr Gardner,21/01/2021,,Furniture,Tables,Round Conference Table,£562.90,10
Manchester-1964,Mr Jackson,16/01/2021,Return Processed,Furniture,Tables,Round Conference Table,£562.90,4
London-1985,Mr Creighton,13/01/2021,,Furniture,Tables,Round Conference Table,£562.90,10
Newcastle-1986,Mrs Braun,13/01/2021,,Furniture,Tables,Round Conference Table,£562.90,11
Newcastle-2096,Mrs McVee,07/01/2021,,Furniture,Tables,Round Conference Table,£562.90,7
York-1132,Mr Gardner,21/01/2021,,Furniture,Tables,Laminate Occasional Tables,£464.29,11
Birmingham-1188,Mr Yedwab,21/01/2021,Return Processed,Furniture,Tables,Laminate Occasional Tables,£464.29,4
Edinburgh-1411,Mr Akin,21/01/2021,Return Processed,Furniture,Tables,Laminate Occasional Tables,£464.29,10
