CustomerID,Customer,Return %,Number of Orders,First Order
1,Mr Barnes,0.36,4,01/01/2021
2,Mr Wiediger,0.0,1,01/01/2021
3,Mrs Philippe,0.33,4,01/01/2021
4,Mr Campbell,0.0,4,02/01/2021
5,Mr Norvell,0.4,4,02/01/2021
6,Mrs Glotzbach,0.0,2,02/01/2021
7,Mrs Ferguson,0.4,2,03/01/2021
8,Mr Dortch,1.0,2,06/01/2021
9,Mr Davis,0.8,3,07/01/2021
10,Mrs Calhoun,0.2,3,07/01/2021
11,Mrs Foster,0.0,2,07/01/2021
12,Mrs McVee,0.0,4,07/01/2021
13,Mrs Monton,0.0,3,07/01/2021
14,Mr MacKendrick,0.4,3,08/01/2021
15,Mrs Martinez,0.0,3,09/01/2021
16,Mr Brumley,0.0,2,12/01/2021
17,Mrs Roberts,0.29,3,12/01/2021
18,Mr Creighton,0.0,3,13/01/2021
19,Mr Luxemburg,0.67,2,13/01/2021
20,Mrs Braun,0.0,3,13/01/2021
21,Mrs Etezadi,0.38,3,13/01/2021
22,Mr Badders,0.43,3,14/01/2021
23,Mr Bremer,0.58,3,14/01/2021
24,Mr Collister,0.14,3,14/01/2021
25,Mr Gute,0.4,3,14/01/2021
26,Mr Hwang,0.41,4,14/01/2021
27,Mr Nguyen,0.0,4,14/01/2021
28,Mr Peterman,0.0,2,14/01/2021
29,Mrs McFarland,0.0,2,14/01/2021
30,Mrs Nunn,0.54,4,14/01/2021
31,Mr Armstrong,0.62,3,15/01/2021
32,Mr Payne,0.5,2,15/01/2021
33,Mrs Balk,0.0,3,15/01/2021
34,Mrs Moffitt,0.83,3,15/01/2021
35,Mrs Swindell,1.0,2,15/01/2021
36,Mr Farhat,0.0,2,16/01/2021
37,Mr Jackson,0.4,2,16/01/2021
38,Mr Schnelling,0.33,4,16/01/2021
39,Mrs Kelty,0.6,3,16/01/2021
40,Mrs Sperren,0.25,4,19/01/2021
41,Mr Bensley,0.57,3,20/01/2021
42,Mr Hightower,0.22,3,20/01/2021
43,Mr Zeldin,0.1,4,20/01/2021
44,Mrs Hendricks,0.0,4,20/01/2021
45,Mr Akin,0.71,3,21/01/2021
46,Mr Chapman,0.57,4,21/01/2021
47,Mr Flanagan,0.2,3,21/01/2021
48,Mr Gardner,0.22,3,21/01/2021
49,Mr Tran,0.71,2,21/01/2021
50,Mr Weirich,0.38,2,21/01/2021
51,Mr Yedwab,0.62,3,21/01/2021
52,Mrs Daniels,0.38,4,21/01/2021
53,Mrs Gerbode,0.25,4,21/01/2021
54,Mrs Latchford,0.5,3,21/01/2021
55,Mr Hirsh,0.5,3,22/01/2021
56,Mrs Karlsson,0.67,2,22/01/2021
57,Mr Coram,0.33,4,23/01/2021
58,Mr McGuire,0.29,3,23/01/2021
59,Mr Morse,0.0,2,23/01/2021
60,Mr Sunley,0.0,3,23/01/2021
61,Mr Schneider,0.5,4,24/01/2021
62,Mr Baird,0.4,4,26/01/2021
63,Mr Cunningham,0.17,3,26/01/2021
64,Mr Garza,0.5,2,26/01/2021
65,Mrs Wener,0.83,4,26/01/2021
66,Mr Jacobs,0.7,4,27/01/2021
67,Mrs Brennan,0.0,1,27/01/2021
68,Mrs Hane,0.25,4,27/01/2021
69,Mr Rosenberg,0.6,3,28/01/2021
70,Mrs Dilbeck,0.6,4,28/01/2021
71,Mrs Hughes,0.0,3,28/01/2021
72,Mr Barreto,0.78,3,29/01/2021
73,Mr Crestani,0.46,4,29/01/2021
74,Mr Mitchum,0.0,2,29/01/2021
75,Mr Reed,0.0,2,29/01/2021
76,Mr Bzostek,0.4,3,30/01/2021
