Pupil Name,Date of Birth,This Year's Birthday,Month,Cake Needed On,BDs per Weekday and Month
Ronna Nellies,21/12/2013,21/12/2022,December,Wednesday,9
Rusty Andriulis,21/07/2012,21/07/2022,July,Thursday,12
Roberta Oakeshott,04/12/2011,04/12/2022,December,Friday,45
Lola Rubinfajn,29/06/2012,29/06/2022,June,Wednesday,15
Kamila Benedtti,10/07/2012,10/07/2022,July,Friday,49
Avery Colebourn,30/08/2012,30/08/2022,August,Tuesday,15
Valentino Klimko,23/12/2014,23/12/2022,December,Friday,45
Cal Shearwood,18/01/2015,18/01/2022,January,Tuesday,12
King Truswell,14/09/2012,14/09/2022,September,Wednesday,7
Towney Stichall,04/06/2015,04/06/2022,June,Friday,30
Aubrette Mc Dermid,09/10/2012,09/10/2022,October,Friday,32
Adah Chatres,27/12/2012,27/12/2022,December,Tuesday,8
Benedikt Titterton,10/01/2014,10/01/2022,January,Monday,14
Rosina Harberer,23/12/2012,23/12/2022,December,Friday,45
Panchito Filinkov,09/06/2013,09/06/2022,June,Thursday,12
Samara Strike,26/06/2013,26/06/2022,June,Friday,30
Joane McCormack,17/04/2012,17/04/2022,April,Friday,55
Griffie Sitlinton,24/03/2014,24/03/2022,March,Thursday,19
Gilberta Silversmidt,08/09/2014,08/09/2022,September,Thursday,14
Marjie Matkovic,04/12/2011,04/12/2022,December,Friday,45
Uri Cowterd,12/12/2011,12/12/2022,December,Monday,20
Korella Mattisson,03/04/2015,03/04/2022,April,Friday,55
Findlay Schonfelder,19/01/2014,19/01/2022,January,Wednesday,14
Jaquelyn Jantzen,20/10/2012,20/10/2022,October,Thursday,14
Davina Gradwell,07/11/2011,07/11/2022,November,Monday,11
Nicolea Selby,04/04/2014,04/04/2022,April,Monday,10
Moselle Alelsandrovich,22/12/2012,22/12/2022,December,Thursday,20
Honey Nieass,23/11/2014,23/11/2022,November,Wednesday,17
Akim Godfroy,30/09/2012,30/09/2022,September,Friday,36
Karole Floch,06/11/2012,06/11/2022,November,Friday,39
Nata Feldbaum,07/05/2015,07/05/2022,May,Friday,31
Jaquelin Antonucci,03/05/2012,03/05/2022,May,Tuesday,15
Candra Hallums,11/08/2014,11/08/2022,August,Thursday,10
Den Masters,03/10/2014,03/10/2022,October,Monday,14
Janifer Marris,21/05/2012,21/05/2022,May,Friday,31
Carolus Bremmer,15/09/2011,15/09/2022,September,Thursday,14
Casey Addicote,25/09/2014,25/09/2022,September,Friday,36
Brigida De Ath,07/08/2014,07/08/2022,August,Friday,24
Kimberli Severs,19/09/2011,19/09/2022,September,Monday,7
Maribeth Blumson,27/08/2014,27/08/2022,August,Friday,24
Arabele Rosenauer,26/10/2012,26/10/2022,October,Wednesday,13
Madison Cominetti,17/07/2014,17/07/2022,July,Friday,49
Verina Knoton,04/04/2014,04/04/2022,April,Monday,10
Wolfgang Clubbe,20/04/2014,20/04/2022,April,Wednesday,12
Davin Mazdon,10/07/2015,10/07/2022,July,Friday,49
Constantina McIlwaine,26/08/2014,26/08/2022,August,Friday,24
Sayre Merredy,24/10/2014,24/10/2022,October,Monday,14
Rodrick Jeannot,19/10/2013,19/10/2022,October,Wednesday,13
Kain Guerre,10/08/2015,10/08/2022,August,Wednesday,10
Blinni Fieldstone,17/11/2013,17/11/2022,November,Thursday,13
Annabell Goscomb,10/11/2013,10/11/2022,November,Thursday,13
Clayborn Benazet,21/11/2014,21/11/2022,November,Monday,11
Mahala Henze,15/09/2014,15/09/2022,September,Thursday,14
Lanette Berzen,18/11/2011,18/11/2022,November,Friday,39
Keefer Ruckhard,02/04/2013,02/04/2022,April,Friday,55
Merrili Truelock,27/11/2013,27/11/2022,November,Friday,39
Joete Goutcher,06/01/2015,06/01/2022,January,Thursday,6
Miguelita Palfreman,17/02/2012,17/02/2022,February,Thursday,12
Ossie Mattes,15/05/2012,15/05/2022,May,Friday,31
Bear Vernay,21/05/2014,21/05/2022,May,Friday,31
Teodor Wragge,14/08/2015,14/08/2022,August,Friday,24
Daisie Whitelaw,17/01/2014,17/01/2022,January,Monday,14
Emlynne Littley,05/02/2015,05/02/2022,February,Friday,31
Britni Walsh,12/07/2012,12/07/2022,July,Tuesday,12
Marys Inseal,16/11/2012,16/11/2022,November,Wednesday,17
Paxton Massow,11/02/2014,11/02/2022,February,Friday,31
Kerby Scain,30/10/2012,30/10/2022,October,Friday,32
Johnathan Lamplough,25/09/2013,25/09/2022,September,Friday,36
Jeni Donald,07/06/2013,07/06/2022,June,Tuesday,11
Sylvia Abrahamsohn,15/11/2012,15/11/2022,November,Tuesday,12
Cinnamon Stoyle,16/01/2012,16/01/2022,January,Friday,33
Issi Amey,20/10/2012,20/10/2022,October,Thursday,14
Brion Letson,07/12/2012,07/12/2022,December,Wednesday,9
Nappie Sire,10/11/2011,10/11/2022,November,Thursday,13
Pattie Chapelle,19/12/2011,19/12/2022,December,Monday,20
Brynna Armit,12/08/2012,12/08/2022,August,Friday,24
Gauthier Bruinsma,23/09/2013,23/09/2022,September,Friday,36
Pren Gudgeon,24/09/2013,24/09/2022,September,Friday,36
Wyn Husthwaite,11/05/2014,11/05/2022,May,Wednesday,8
Allianora Padrick,07/12/2011,07/12/2022,December,Wednesday,9
Malena Bennough,20/04/2013,20/04/2022,April,Wednesday,12
Jarret Winscom,05/03/2013,05/03/2022,March,Friday,31
Ree Salmen,14/11/2013,14/11/2022,November,Monday,11
Hope Dommerque,13/09/2014,13/09/2022,September,Tuesday,12
Guillermo Trowle,24/06/2013,24/06/2022,June,Friday,30
Tibold Cottingham,03/09/2013,03/09/2022,September,Friday,36
Cecilia Poxton,20/12/2013,20/12/2022,December,Tuesday,8
Arri Sleney,23/11/2013,23/11/2022,November,Wednesday,17
Regina Isenor,16/10/2011,16/10/2022,October,Friday,32
Annalise Roll,04/07/2012,04/07/2022,July,Monday,11
Othello Blyth,19/07/2014,19/07/2022,July,Tuesday,12
Ave Heyball,01/05/2012,01/05/2022,May,Friday,31
Friederike Civitillo,24/06/2015,24/06/2022,June,Friday,30
Hayley Rizzini,26/04/2014,26/04/2022,April,Tuesday,4
Blakelee Monery,04/12/2013,04/12/2022,December,Friday,45
Jacenta Cowton,18/06/2013,18/06/2022,June,Friday,30
Karlyn Westmoreland,10/06/2015,10/06/2022,June,Friday,30
Yancey Bachellier,01/02/2015,01/02/2022,February,Tuesday,13
