Pupil Name,Date of Birth,"This Year's Birthday",Month,Cake Needed On,BDs per Weekday and Month
Joane McCormack,17/04/2012,17/04/2022,April,Friday,55
Korella Mattisson,03/04/2015,03/04/2022,April,Friday,55
Keefer Ruckhard,02/04/2013,02/04/2022,April,Friday,55
Sasha McMenamin,23/04/2012,23/04/2022,April,Friday,55
Jamaal Challicombe,02/04/2013,02/04/2022,April,Friday,55
Antin Luesley,17/04/2012,17/04/2022,April,Friday,55
Chucho Longmore,15/04/2013,15/04/2022,April,Friday,55
Ev Baldack,23/04/2015,23/04/2022,April,Friday,55
Jania Pesek,08/04/2012,08/04/2022,April,Friday,55
Merwin Doag,29/04/2015,29/04/2022,April,Friday,55
Valaree Heckner,30/04/2012,30/04/2022,April,Friday,55
Howard Kittow,09/04/2014,09/04/2022,April,Friday,55
Armstrong Batiste,15/04/2012,15/04/2022,April,Friday,55
Megan Blyth,22/04/2012,22/04/2022,April,Friday,55
Ancell Borrel,24/04/2012,24/04/2022,April,Friday,55
Dorothea Haselwood,23/04/2014,23/04/2022,April,Friday,55
Rici Dohms,09/04/2013,09/04/2022,April,Friday,55
Kit Fishbourn,01/04/2014,01/04/2022,April,Friday,55
Welby Dymott,15/04/2012,15/04/2022,April,Friday,55
Maddie Kennard,15/04/2015,15/04/2022,April,Friday,55
Adore Rowan,30/04/2012,30/04/2022,April,Friday,55
Trstram Macci,16/04/2013,16/04/2022,April,Friday,55
Malory Jonk,10/04/2012,10/04/2022,April,Friday,55
Dasha Traite,08/04/2014,08/04/2022,April,Friday,55
Hayward MacKellen,29/04/2014,29/04/2022,April,Friday,55
Penny Nertney,24/04/2012,24/04/2022,April,Friday,55
Bernhard Pakes,09/04/2013,09/04/2022,April,Friday,55
Leupold Paladino,30/04/2014,30/04/2022,April,Friday,55
Gizela Oke,30/04/2015,30/04/2022,April,Friday,55
Yevette Crimpe,15/04/2015,15/04/2022,April,Friday,55
Jesse Worsall,24/04/2015,24/04/2022,April,Friday,55
Yalonda Cranch,08/04/2015,08/04/2022,April,Friday,55
Billie Keyte,10/04/2013,10/04/2022,April,Friday,55
Jennee Portch,01/04/2012,01/04/2022,April,Friday,55
Janith Amburgy,17/04/2013,17/04/2022,April,Friday,55
Jordanna Siley,22/04/2013,22/04/2022,April,Friday,55
Elana Dupree,09/04/2012,09/04/2022,April,Friday,55
Jobi Dreossi,15/04/2015,15/04/2022,April,Friday,55
Tatum Daughton,08/04/2015,08/04/2022,April,Friday,55
Sandy Helks,02/04/2013,02/04/2022,April,Friday,55
Braden Berrane,30/04/2015,30/04/2022,April,Friday,55
Emylee Yurygyn,24/04/2014,24/04/2022,April,Friday,55
Rori Colvill,08/04/2014,08/04/2022,April,Friday,55
Jasmina Langforth,03/04/2012,03/04/2022,April,Friday,55
Marve Geaney,15/04/2014,15/04/2022,April,Friday,55
Katharina Joscelyne,17/04/2014,17/04/2022,April,Friday,55
Tammie Meynell,10/04/2014,10/04/2022,April,Friday,55
Barclay Fieldgate,30/04/2012,30/04/2022,April,Friday,55
Remy La Torre,23/04/2013,23/04/2022,April,Friday,55
Maybelle Shackesby,30/04/2015,30/04/2022,April,Friday,55
Tonye Faudrie,01/04/2012,01/04/2022,April,Friday,55
Ninnetta Galia,01/04/2013,01/04/2022,April,Friday,55
Ida Side,22/04/2015,22/04/2022,April,Friday,55
Gratia Shory,02/04/2015,02/04/2022,April,Friday,55
Stanford Tinton,09/04/2013,09/04/2022,April,Friday,55
Nicolea Selby,04/04/2014,04/04/2022,April,Monday,10
Verina Knoton,04/04/2014,04/04/2022,April,Monday,10
Clo Knoton,25/04/2014,25/04/2022,April,Monday,10
Sayer Romain,11/04/2014,11/04/2022,April,Monday,10
Kareem Shieldon,11/04/2012,11/04/2022,April,Monday,10
West Breheny,25/04/2015,25/04/2022,April,Monday,10
Curry Dawbery,25/04/2013,25/04/2022,April,Monday,10
Poul Frane,11/04/2012,11/04/2022,April,Monday,10
Barnie Drees,25/04/2013,25/04/2022,April,Monday,10
Zoe Djorvic,04/04/2013,04/04/2022,April,Monday,10
Graehme Ditch,07/04/2015,07/04/2022,April,Thursday,11
Maximo Greenin,07/04/2013,07/04/2022,April,Thursday,11
Emmie Laba,07/04/2013,07/04/2022,April,Thursday,11
