id,Agent Name,Leader 1,Leader Name,Month Start Date,Location,Calls Answered,Calls Not Answered,Not Answered Rate,Met Not Answered Rate,Not Answered Percent < 5,Calls Offered,Total Duration,Agent Avg Duration,Transfers,Sentiment,Sentiment Score >= 0,Met Sentiment Goal
4,"Garnam, Fleur",1,"Howroyd, Kylie",1/12/2021,Margaree,796,53,0.062,FALSE,5,849,15282,19,23,80,0,TRUE
4,"Garnam, Fleur",1,"Howroyd, Kylie",1/11/2021,Margaree,421,75,0.151,FALSE,5,496,10416,25,21,47,0,TRUE
4,"Garnam, Fleur",1,"Howroyd, Kylie",1/10/2021,Margaree,826,43,0.049,TRUE,5,869,17380,21,27,58,0,TRUE
4,"Garnam, Fleur",1,"Howroyd, Kylie",1/9/2021,Margaree,407,52,0.113,FALSE,5,459,8262,20,19,-87,0,FALSE
4,"Garnam, Fleur",1,"Howroyd, Kylie",1/8/2021,Margaree,696,24,0.033,TRUE,5,720,7920,11,3,-27,0,FALSE
4,"Garnam, Fleur",1,"Howroyd, Kylie",1/7/2021,Margaree,425,29,0.064,FALSE,5,454,4540,11,23,63,0,TRUE
4,"Garnam, Fleur",1,"Howroyd, Kylie",1/6/2021,Margaree,590,2,0.003,TRUE,5,592,2368,4,9,95,0,TRUE
4,"Garnam, Fleur",1,"Howroyd, Kylie",1/5/2021,Margaree,464,22,0.045,TRUE,5,486,1458,3,23,-33,0,FALSE
4,"Garnam, Fleur",1,"Howroyd, Kylie",1/4/2021,Margaree,748,12,0.016,TRUE,5,760,6080,8,,21,0,TRUE
4,"Garnam, Fleur",1,"Howroyd, Kylie",1/3/2021,Margaree,338,75,0.182,FALSE,5,413,2478,7,,23,0,TRUE
4,"Garnam, Fleur",1,"Howroyd, Kylie",1/2/2021,Margaree,590,16,0.026,TRUE,5,606,4848,8,,97,0,TRUE
4,"Garnam, Fleur",1,"Howroyd, Kylie",1/1/2021,Margaree,443,2,0.004,TRUE,5,445,7565,17,,-53,0,FALSE
8,"Jobbings, Tandi",3,"Befroy, Yorke",1/12/2021,Margaree,919,73,0.074,FALSE,5,992,14880,16,7,-89,0,FALSE
8,"Jobbings, Tandi",3,"Befroy, Yorke",1/11/2021,Margaree,927,7,0.007,TRUE,5,934,18680,20,1,63,0,TRUE
8,"Jobbings, Tandi",3,"Befroy, Yorke",1/10/2021,Margaree,632,71,0.101,FALSE,5,703,4218,7,17,-20,0,FALSE
8,"Jobbings, Tandi",3,"Befroy, Yorke",1/9/2021,Margaree,553,31,0.053,FALSE,5,584,1752,3,20,37,0,TRUE
8,"Jobbings, Tandi",3,"Befroy, Yorke",1/8/2021,Margaree,394,21,0.051,FALSE,5,415,1245,3,22,72,0,TRUE
8,"Jobbings, Tandi",3,"Befroy, Yorke",1/7/2021,Margaree,407,80,0.164,FALSE,5,487,10227,25,14,38,0,TRUE
8,"Jobbings, Tandi",3,"Befroy, Yorke",1/6/2021,Margaree,765,27,0.034,TRUE,5,792,15840,21,13,-16,0,FALSE
8,"Jobbings, Tandi",3,"Befroy, Yorke",1/5/2021,Margaree,580,0,0,TRUE,5,580,11600,20,16,33,0,TRUE
8,"Jobbings, Tandi",3,"Befroy, Yorke",1/4/2021,Margaree,697,65,0.085,FALSE,5,762,15240,22,,-1,0,FALSE
8,"Jobbings, Tandi",3,"Befroy, Yorke",1/3/2021,Margaree,955,27,0.027,TRUE,5,982,17676,19,,-51,0,FALSE
8,"Jobbings, Tandi",3,"Befroy, Yorke",1/2/2021,Margaree,913,56,0.058,FALSE,5,969,17442,19,,98,0,TRUE
8,"Jobbings, Tandi",3,"Befroy, Yorke",1/1/2021,Margaree,363,22,0.057,FALSE,5,385,6160,17,,-27,0,FALSE
10,"Beaver, Leanora",1,"Howroyd, Kylie",1/12/2021,Margaree,693,16,0.023,TRUE,5,709,5672,8,3,78,0,TRUE
10,"Beaver, Leanora",1,"Howroyd, Kylie",1/11/2021,Margaree,936,0,0,TRUE,5,936,15912,17,24,74,0,TRUE
10,"Beaver, Leanora",1,"Howroyd, Kylie",1/10/2021,Margaree,602,56,0.085,FALSE,5,658,3948,7,19,-79,0,FALSE
