id,Agent Name,Leader 1,Leader Name,Location,Month Start Date,Calls Offered,Calls Not Answered,Calls Answered,Total Duration,Sentiment,Transfers,Not Answered Percent < 5,Sentiment Score >= 0,Not Answered Rate,Agent Avg Duration,Met Sentiment Goal,Met Not Answered Rate
4,"Garnam, Fleur",1,"Howroyd, Kylie",Margaree,1/1/2021,445.0,2.0,443.0,7565.0,-53.0,,5.0,0.0,0.004,17.0,0.0,1.0
4,"Garnam, Fleur",1,"Howroyd, Kylie",Margaree,1/2/2021,606.0,16.0,590.0,4848.0,97.0,,5.0,0.0,0.026,8.0,1.0,1.0
4,"Garnam, Fleur",1,"Howroyd, Kylie",Margaree,1/3/2021,413.0,75.0,338.0,2478.0,23.0,,5.0,0.0,0.182,7.0,1.0,0.0
4,"Garnam, Fleur",1,"Howroyd, Kylie",Margaree,1/4/2021,760.0,12.0,748.0,6080.0,21.0,,5.0,0.0,0.016,8.0,1.0,1.0
4,"Garnam, Fleur",1,"Howroyd, Kylie",Margaree,1/5/2021,486.0,22.0,464.0,1458.0,-33.0,23.0,5.0,0.0,0.045,3.0,0.0,1.0
4,"Garnam, Fleur",1,"Howroyd, Kylie",Margaree,1/6/2021,592.0,2.0,590.0,2368.0,95.0,9.0,5.0,0.0,0.003,4.0,1.0,1.0
4,"Garnam, Fleur",1,"Howroyd, Kylie",Margaree,1/7/2021,454.0,29.0,425.0,4540.0,63.0,23.0,5.0,0.0,0.064,11.0,1.0,0.0
4,"Garnam, Fleur",1,"Howroyd, Kylie",Margaree,1/8/2021,720.0,24.0,696.0,7920.0,-27.0,3.0,5.0,0.0,0.033,11.0,0.0,1.0
4,"Garnam, Fleur",1,"Howroyd, Kylie",Margaree,1/9/2021,459.0,52.0,407.0,8262.0,-87.0,19.0,5.0,0.0,0.113,20.0,0.0,0.0
4,"Garnam, Fleur",1,"Howroyd, Kylie",Margaree,1/10/2021,869.0,43.0,826.0,17380.0,58.0,27.0,5.0,0.0,0.049,21.0,1.0,1.0
4,"Garnam, Fleur",1,"Howroyd, Kylie",Margaree,1/11/2021,496.0,75.0,421.0,10416.0,47.0,21.0,5.0,0.0,0.151,25.0,1.0,0.0
4,"Garnam, Fleur",1,"Howroyd, Kylie",Margaree,1/12/2021,849.0,53.0,796.0,15282.0,80.0,23.0,5.0,0.0,0.062,19.0,1.0,0.0
8,"Jobbings, Tandi",3,"Befroy, Yorke",Margaree,1/1/2021,385.0,22.0,363.0,6160.0,-27.0,,5.0,0.0,0.057,17.0,0.0,0.0
8,"Jobbings, Tandi",3,"Befroy, Yorke",Margaree,1/2/2021,969.0,56.0,913.0,17442.0,98.0,,5.0,0.0,0.058,19.0,1.0,0.0
8,"Jobbings, Tandi",3,"Befroy, Yorke",Margaree,1/3/2021,982.0,27.0,955.0,17676.0,-51.0,,5.0,0.0,0.027,19.0,0.0,1.0
8,"Jobbings, Tandi",3,"Befroy, Yorke",Margaree,1/4/2021,762.0,65.0,697.0,15240.0,-1.0,,5.0,0.0,0.085,22.0,0.0,0.0
8,"Jobbings, Tandi",3,"Befroy, Yorke",Margaree,1/5/2021,580.0,0.0,580.0,11600.0,33.0,16.0,5.0,0.0,0.0,20.0,1.0,1.0
8,"Jobbings, Tandi",3,"Befroy, Yorke",Margaree,1/6/2021,792.0,27.0,765.0,15840.0,-16.0,13.0,5.0,0.0,0.034,21.0,0.0,1.0
8,"Jobbings, Tandi",3,"Befroy, Yorke",Margaree,1/7/2021,487.0,80.0,407.0,10227.0,38.0,14.0,5.0,0.0,0.164,25.0,1.0,0.0
8,"Jobbings, Tandi",3,"Befroy, Yorke",Margaree,1/8/2021,415.0,21.0,394.0,1245.0,72.0,22.0,5.0,0.0,0.051,3.0,1.0,0.0
8,"Jobbings, Tandi",3,"Befroy, Yorke",Margaree,1/9/2021,584.0,31.0,553.0,1752.0,37.0,20.0,5.0,0.0,0.053,3.0,1.0,0.0
8,"Jobbings, Tandi",3,"Befroy, Yorke",Margaree,1/10/2021,703.0,71.0,632.0,4218.0,-20.0,17.0,5.0,0.0,0.101,7.0,0.0,0.0
8,"Jobbings, Tandi",3,"Befroy, Yorke",Margaree,1/11/2021,934.0,7.0,927.0,18680.0,63.0,1.0,5.0,0.0,0.007,20.0,1.0,1.0
8,"Jobbings, Tandi",3,"Befroy, Yorke",Margaree,1/12/2021,992.0,73.0,919.0,14880.0,-89.0,7.0,5.0,0.0,0.074,16.0,0.0,0.0
10,"Beaver, Leanora",1,"Howroyd, Kylie",Margaree,1/1/2021,579.0,4.0,575.0,3474.0,-70.0,,5.0,0.0,0.007,6.0,0.0,1.0
10,"Beaver, Leanora",1,"Howroyd, Kylie",Margaree,1/2/2021,760.0,46.0,714.0,7600.0,-47.0,,5.0,0.0,0.061,11.0,0.0,0.0
10,"Beaver, Leanora",1,"Howroyd, Kylie",Margaree,1/3/2021,595.0,43.0,552.0,5355.0,-60.0,,5.0,0.0,0.072,10.0,0.0,0.0
10,"Beaver, Leanora",1,"Howroyd, Kylie",Margaree,1/4/2021,507.0,41.0,466.0,1521.0,67.0,,5.0,0.0,0.081,3.0,1.0,0.0
10,"Beaver, Leanora",1,"Howroyd, Kylie",Margaree,1/5/2021,623.0,63.0,560.0,1869.0,-39.0,12.0,5.0,0.0,0.101,3.0,0.0,0.0
10,"Beaver, Leanora",1,"Howroyd, Kylie",Margaree,1/6/2021,748.0,67.0,681.0,4488.0,82.0,2.0,5.0,0.0,0.09,7.0,1.0,0.0
10,"Beaver, Leanora",1,"Howroyd, Kylie",Margaree,1/7/2021,440.0,49.0,391.0,9240.0,-85.0,8.0,5.0,0.0,0.111,24.0,0.0,0.0
10,"Beaver, Leanora",1,"Howroyd, Kylie",Margaree,1/8/2021,714.0,60.0,654.0,13566.0,28.0,12.0,5.0,0.0,0.084,21.0,1.0,0.0
10,"Beaver, Leanora",1,"Howroyd, Kylie",Margaree,1/9/2021,595.0,27.0,568.0,1785.0,-87.0,22.0,5.0,0.0,0.045,3.0,0.0,1.0
10,"Beaver, Leanora",1,"Howroyd, Kylie",Margaree,1/10/2021,658.0,56.0,602.0,3948.0,-79.0,19.0,5.0,0.0,0.085,7.0,0.0,0.0
10,"Beaver, Leanora",1,"Howroyd, Kylie",Margaree,1/11/2021,936.0,0.0,936.0,15912.0,74.0,24.0,5.0,0.0,0.0,17.0,1.0,1.0
10,"Beaver, Leanora",1,"Howroyd, Kylie",Margaree,1/12/2021,709.0,16.0,693.0,5672.0,78.0,3.0,5.0,0.0,0.023,8.0,1.0,1.0
11,"Cranke, Zabrina",1,"Howroyd, Kylie",Margaree,1/1/2021,824.0,12.0,812.0,13184.0,17.0,,5.0,0.0,0.015,16.0,1.0,1.0
11,"Cranke, Zabrina",1,"Howroyd, Kylie",Margaree,1/2/2021,885.0,6.0,879.0,13275.0,69.0,,5.0,0.0,0.007,15.0,1.0,1.0
11,"Cranke, Zabrina",1,"Howroyd, Kylie",Margaree,1/3/2021,880.0,42.0,838.0,2640.0,19.0,,5.0,0.0,0.048,3.0,1.0,1.0
11,"Cranke, Zabrina",1,"Howroyd, Kylie",Margaree,1/4/2021,727.0,74.0,653.0,14540.0,34.0,,5.0,0.0,0.102,22.0,1.0,0.0
11,"Cranke, Zabrina",1,"Howroyd, Kylie",Margaree,1/5/2021,840.0,27.0,813.0,17640.0,99.0,11.0,5.0,0.0,0.032,22.0,1.0,1.0
11,"Cranke, Zabrina",1,"Howroyd, Kylie",Margaree,1/6/2021,915.0,23.0,892.0,6405.0,-44.0,21.0,5.0,0.0,0.025,7.0,0.0,1.0
11,"Cranke, Zabrina",1,"Howroyd, Kylie",Margaree,1/7/2021,423.0,67.0,356.0,3807.0,-50.0,3.0,5.0,0.0,0.158,11.0,0.0,0.0
11,"Cranke, Zabrina",1,"Howroyd, Kylie",Margaree,1/8/2021,705.0,3.0,702.0,11985.0,-52.0,19.0,5.0,0.0,0.004,17.0,0.0,1.0
11,"Cranke, Zabrina",1,"Howroyd, Kylie",Margaree,1/9/2021,635.0,7.0,628.0,5080.0,24.0,5.0,5.0,0.0,0.011,8.0,1.0,1.0
