Customer Classification,YoY Difference,Order?,Year,First Purchase,Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer Name,Segment,Country/Region,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Customer ID
New,,1,2019,2019,8535,CA-2019-169677,13/01/2019,15/01/2019,Second Class,Karen Seio,Corporate,United States,Columbus,Georgia,31907,South,OFF-LA-10003223,Office Supplies,Labels,Avery 508,9.82,2,0,4.8118,KS-16300
New,,1,2019,2019,4936,CA-2019-155124,15/03/2019,21/03/2019,Standard Class,Karen Seio,Corporate,United States,Lehi,Utah,84043,West,TEC-PH-10003356,Technology,Phones,"SmartStand Mobile Device Holder, Assorted Colors",16.776,3,0.2,1.6776,KS-16300
Sleeping,-158,0,2019,2018,,,,,,Andrew Allen,,,,,,,,,,,,,,,AA-10480
New,,1,2020,2020,1802,CA-2020-149461,13/11/2020,19/11/2020,Standard Class,Adrian Shami,Home Office,United States,Auburn,Washington,98002,West,FUR-FU-10004270,Furniture,Furnishings,"Eldon Image Series Desk Accessories, Burgundy",4.18,1,0,1.5048,AS-10135
New,,1,2018,2018,8969,CA-2018-166730,30/12/2018,01/01/2019,First Class,Dorothy Dickinson,Consumer,United States,Memphis,Tennessee,38109,South,OFF-ST-10002554,Office Supplies,Storage,Tennsco Industrial Shelving,39.128,1,0.2,-8.8038,DD-13570
New,,1,2018,2018,5050,US-2018-104759,31/03/2018,04/04/2018,Standard Class,Dorothy Dickinson,Consumer,United States,Chicago,Illinois,60610,Central,TEC-AC-10004901,Technology,Accessories,Kensington SlimBlade Notebook Wireless Mouse with Nano Receiver,79.984,2,0.2,13.9972,DD-13570
New,,1,2018,2018,5049,US-2018-104759,31/03/2018,04/04/2018,Standard Class,Dorothy Dickinson,Consumer,United States,Chicago,Illinois,60610,Central,OFF-BI-10002071,Office Supplies,Binders,Fellowes Black Plastic Comb Bindings,8.134,7,0.8,-13.8278,DD-13570
Sleeping,-158,0,2019,2018,,,,,,Ryan Crowe,,,,,,,,,,,,,,,RC-19960
Returning,18,1,2021,2019,933,CA-2021-114216,02/09/2021,06/09/2021,Standard Class,Ralph Kennedy,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-PA-10002195,Office Supplies,Paper,"RSVP Cards & Envelopes, Blank White, 8-1/2"" X 11"", 24 Cards/25 Envelopes/Set",12.192,3,0.2,4.1148,RK-19300
New,,1,2018,2018,2892,CA-2018-142727,29/04/2018,01/05/2018,Second Class,Harry Greene,Consumer,United States,Lake Charles,Louisiana,70601,South,OFF-BI-10000136,Office Supplies,Binders,Avery Non-Stick Heavy Duty View Round Locking Ring Binders,17.94,3,0,8.6112,HG-14845
New,,1,2018,2018,2891,CA-2018-142727,29/04/2018,01/05/2018,Second Class,Harry Greene,Consumer,United States,Lake Charles,Louisiana,70601,South,FUR-CH-10002304,Furniture,Chairs,"Global Stack Chair without Arms, Black",51.96,2,0,12.99,HG-14845
Consistent,48,1,2020,2018,5414,CA-2020-153157,11/09/2020,14/09/2020,First Class,Trudy Brown,Consumer,United States,Wichita,Kansas,67212,Central,TEC-PH-10003171,Technology,Phones,Plantronics Encore H101 Dual Earpieces Headset,224.75,5,0,62.93,TB-21625
Consistent,48,1,2020,2018,4815,CA-2020-111696,08/05/2020,10/05/2020,First Class,Trudy Brown,Consumer,United States,Los Angeles,California,90004,West,OFF-PA-10002751,Office Supplies,Paper,Xerox 1920,17.94,3,0,8.073,TB-21625
Consistent,48,1,2020,2018,9343,CA-2020-119123,13/03/2020,18/03/2020,Standard Class,Dennis Bolton,Home Office,United States,Riverside,California,92503,West,OFF-BI-10001036,Office Supplies,Binders,Cardinal EasyOpen D-Ring Binders,51.184,7,0.2,19.194,DB-13360
Consistent,48,1,2020,2018,4648,CA-2020-139556,26/04/2020,01/05/2020,Standard Class,Dennis Bolton,Home Office,United States,New York City,New York,10009,East,FUR-CH-10004983,Furniture,Chairs,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,434.646,3,0.1,62.7822,DB-13360
Consistent,18,1,2021,2019,9385,CA-2021-100433,11/08/2021,16/08/2021,Standard Class,Sanjit Jacobs,Home Office,United States,New York City,New York,10009,East,OFF-PA-10003441,Office Supplies,Paper,Xerox 226,25.92,4,0,12.4416,SJ-20125
Consistent,18,1,2021,2019,7453,CA-2021-105669,17/09/2021,22/09/2021,Second Class,Sanjit Jacobs,Home Office,United States,Houston,Texas,77036,Central,TEC-PH-10002415,Technology,Phones,Polycom VoiceStation 500 Conference phone,1415.76,6,0.2,88.485000000,SJ-20125
Consistent,18,1,2021,2019,7452,CA-2021-105669,17/09/2021,22/09/2021,Second Class,Sanjit Jacobs,Home Office,United States,Houston,Texas,77036,Central,OFF-BI-10002412,Office Supplies,Binders,Wilson Jones “Snap” Scratch Pad Binder Tool for Ring Binders,5.8,5,0.8,-10.15,SJ-20125
Consistent,18,1,2021,2019,7451,CA-2021-105669,17/09/2021,22/09/2021,Second Class,Sanjit Jacobs,Home Office,United States,Houston,Texas,77036,Central,FUR-CH-10003774,Furniture,Chairs,"Global Wood Trimmed Manager's Task Chair, Khaki",318.43,5,0.3,-77.333,SJ-20125
Consistent,18,1,2021,2019,7450,CA-2021-105669,17/09/2021,22/09/2021,Second Class,Sanjit Jacobs,Home Office,United States,Houston,Texas,77036,Central,OFF-AR-10000390,Office Supplies,Art,Newell Chalk Holder,9.912,3,0.2,3.2214,SJ-20125
Consistent,18,1,2021,2019,5645,CA-2021-120719,23/03/2021,26/03/2021,First Class,Sanjit Jacobs,Home Office,United States,Seattle,Washington,98105,West,OFF-BI-10002103,Office Supplies,Binders,"Cardinal Slant-D Ring Binder, Heavy Gauge Vinyl",34.76,5,0.2,11.297,SJ-20125
Consistent,18,1,2021,2019,4564,CA-2021-129490,26/09/2021,30/09/2021,Standard Class,Sanjit Jacobs,Home Office,United States,Miramar,Florida,33023,South,FUR-CH-10003298,Furniture,Chairs,"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal",419.136,4,0.2,-57.6312,SJ-20125
Consistent,18,1,2021,2019,3896,CA-2021-110212,01/05/2021,05/05/2021,Standard Class,Sanjit Jacobs,Home Office,United States,Texarkana,Arkansas,71854,South,TEC-AC-10002331,Technology,Accessories,"Maxell 74 Minute CDR, 10/Pack",48.9,5,0,18.093,SJ-20125
Consistent,18,1,2021,2019,2239,CA-2021-166849,20/04/2021,26/04/2021,Standard Class,Sanjit Jacobs,Home Office,United States,Chicago,Illinois,60610,Central,FUR-FU-10004597,Furniture,Furnishings,Eldon Cleatmat Chair Mats for Medium Pile Carpets,44.4,2,0.6,-52.17,SJ-20125
Consistent,18,1,2021,2019,860,CA-2021-161984,10/04/2021,15/04/2021,Standard Class,Sanjit Jacobs,Home Office,United States,New Brunswick,New Jersey,8901,East,OFF-FA-10000624,Office Supplies,Fasteners,OIC Binder Clips,7.16,2,0,3.58,SJ-20125
Consistent,18,1,2021,2019,859,CA-2021-161984,10/04/2021,15/04/2021,Standard Class,Sanjit Jacobs,Home Office,United States,New Brunswick,New Jersey,8901,East,OFF-PA-10004569,Office Supplies,Paper,"Wirebound Message Books, Two 4 1/4"" x 5"" Forms per Page",7.61,1,0,3.5767,SJ-20125
New,,1,2018,2018,8431,US-2018-113124,30/03/2018,05/04/2018,Standard Class,Nat Carroll,Consumer,United States,Apple Valley,Minnesota,55124,Central,OFF-ST-10001511,Office Supplies,Storage,Space Solutions Commercial Steel Shelving,129.3,2,0,6.465000000,NC-18340
New,,1,2018,2018,7297,CA-2018-111899,04/05/2018,05/05/2018,First Class,Nat Carroll,Consumer,United States,Houston,Texas,77036,Central,OFF-FA-10000840,Office Supplies,Fasteners,OIC Thumb-Tacks,5.472,6,0.2,1.8468,NC-18340
New,,1,2018,2018,7296,CA-2018-111899,04/05/2018,05/05/2018,First Class,Nat Carroll,Consumer,United States,Houston,Texas,77036,Central,OFF-AR-10001725,Office Supplies,Art,Boston Home & Office Model 2000 Electric Pencil Sharpeners,37.84,2,0.2,2.838,NC-18340
Consistent,18,1,2021,2019,5281,CA-2021-152709,07/10/2021,12/10/2021,Standard Class,Dean Braden,Consumer,United States,Detroit,Michigan,48234,Central,OFF-ST-10001837,Office Supplies,Storage,"SAFCO Mobile Desk Side File, Wire Frame",85.52,2,0,22.2352,DB-13210
