Total Customers,Running % Total Sales,% of Total,Customer ID,First Name,Surname,Sales
690,1.26,1.258279184,701,Burnaby,Fruish,25043.05
690,2.22,0.957271950,742,Boniface,Deboo,19052.218
690,2.94,0.727219452,7,Vernon,Tomaskov,14473.571
690,3.65,0.712229364,435,Stormi,Langman,14175.229
690,4.37,0.710576566,670,Hayes,Treharne,14142.334
690,5.01,0.646814302,328,Patty,Tomaselli,12873.298
690,5.63,0.613458891,684,Merci,Wills,12209.438
690,6.24,0.609420930,132,Nonie,Windrass,12129.072
690,6.83,0.597496820,765,Tanitansy,Di Claudio,11891.751
690,7.43,0.593897746,312,Lyssa,Dodle,11820.12
690,8,0.576353823,721,Hayden,Boylin,11470.95
690,8.56,0.560980167,147,Win,Casbourne,11164.974
690,9.11,0.546689183,153,Madelene,Serle,10880.546
690,9.65,0.535795239,498,Caresse,Cuolahan,10663.728
690,10.17,0.527651838,105,Mikel,Trusler,10501.653
690,10.69,0.518066516,258,King,Sidon,10310.88
690,11.18,0.492393663,388,Flint,Wilcocke,9799.923
690,11.65,0.469848337,311,Joyan,Baitey,9351.212
690,12.12,0.467287971,334,Jens,Duncanson,9300.254
690,12.58,0.458934095,738,Lane,Shakespeare,9133.99
690,13.04,0.455360394,589,Aldridge,Conibeer,9062.864
690,13.49,0.449891566,161,Mandi,Bulch,8954.02
690,13.93,0.443561268,353,Hermann,Chanter,8828.0305
690,14.37,0.437020043,356,Amberly,Markwell,8697.843
690,14.8,0.435782970,448,Catriona,Petford,8673.222
690,15.24,0.434462138,598,Lauraine,Laden,8646.934
690,15.65,0.418177447,561,Mariya,Thorneley,8322.826
690,16.07,0.414103259,557,Julianna,Altimas,8241.739
690,16.48,0.413853332,329,Morgen,Wapplington,8236.7648
690,16.89,0.411064312,425,Robin,Goley,8181.256
690,17.3,0.404865881,667,Rabi,Face,8057.891
690,17.7,0.399696059,372,Katy,Rushbrook,7954.998
690,18.1,0.397092608,574,Haley,Dimmne,7903.1825
690,18.49,0.396344540,35,Odie,Fortman,7888.294
690,18.88,0.389678382,6,Shanan,Normanville,7755.62
690,19.27,0.389646024,355,Deva,Dimic,7754.976
690,19.66,0.385031054,452,Cyndi,Mylchreest,7663.126
690,20.04,0.383119245,395,Tate,Harvie,7625.076
690,20.42,0.382405168,350,Anders,Gerhts,7610.864
690,20.8,0.375519853,603,Merola,Emson,7473.8282
690,21.17,0.374005570,537,Delora,Dangl,7443.69
690,21.54,0.371679795,661,Clara,Springthorpe,7397.401
690,21.91,0.366493744,93,Aubert,Tiley,7294.185
690,22.26,0.351069190,286,Kristal,Bearne,6987.196
690,22.61,0.350666429,644,Cathie,Wynn,6979.18
690,22.96,0.343855968,611,Sylvan,Janse,6843.634
690,23.3,0.339941609,66,Gavra,Machen,6765.728
690,23.63,0.339694757,357,Maridel,Tolerton,6760.815
690,23.97,0.332039131,49,Cash,Ziems,6608.448
690,24.29,0.327998758,234,Maire,Coo,6528.034
690,24.62,0.326453032,303,Ferdy,Speek,6497.27
690,24.95,0.326139304,340,Giulietta,Issacson,6491.026
690,25.27,0.324547453,569,Forrest,Rummery,6459.344
690,25.6,0.323688772,777,Samaria,Ettles,6442.254
690,25.92,0.322118225,666,Gertruda,Faherty,6410.996
690,26.24,0.319877113,366,Armand,Beevis,6366.392
690,26.56,0.318807455,224,Lucina,Milne,6345.103
690,26.87,0.317583646,517,Tamas,Purshouse,6320.746
690,27.19,0.314297897,89,Kelsy,Stansell,6255.351
690,27.5,0.313270846,648,Abbie,Petrulis,6234.91
690,27.81,0.309512145,788,Malissa,Keech,6160.102
690,28.12,0.308202568,787,Holmes,Yakebovitch,6134.038
690,28.43,0.307553207,683,Fabian,Maddin,6121.114
690,28.73,0.306911281,616,Nil,Poncet,6108.338
690,29.04,0.306838024,16,Salem,Gerriets,6106.88
690,29.35,0.305293454,126,Victoir,Quiddinton,6076.139
690,29.65,0.303978400,308,Ema,MacGoun,6049.966
690,29.95,0.301092850,674,Daffi,Stachini,5992.536
690,30.25,0.300417562,650,Niki,Talmadge,5979.096
690,30.55,0.299099294,431,Tommie,Guiot,5952.859
690,30.85,0.296843962,83,Nobe,Twentyman,5907.972
690,31.14,0.295854293,166,Zeb,Jacobsohn,5888.275
690,31.43,0.287325064,68,Alli,Barney,5718.521
690,31.72,0.285894800,181,Thurstan,Wellfare,5690.055
690,32,0.284586781,42,Jeni,Gawkes,5664.022
690,32.28,0.283043969,628,Sheri,Nester,5633.316
690,32.57,0.282384256,437,Kaitlin,Weatherhill,5620.186
690,32.85,0.279539103,1,Thurston,Thresher,5563.56
690,33.13,0.279530662,703,Eugene,Benkhe,5563.392
690,33.4,0.277833800,571,Daniella,Stiggles,5529.62
690,33.68,0.276500960,516,Collette,Ebenezer,5503.093
690,33.96,0.275377038,233,Maegan,French,5480.724
690,34.23,0.274051885,790,Conni,Coatham,5454.35
690,34.5,0.273346903,708,Jamal,Castagnaro,5440.319
690,34.77,0.272351807,482,Merla,Renol,5420.514
690,35.05,0.271434340,165,Emalia,McCutheon,5402.254
690,35.32,0.269868516,763,Fannie,Station,5371.09
690,35.59,0.269552879,773,Helli,Rymer,5364.808
690,35.85,0.268401875,547,Collie,Riolfo,5341.9
690,36.12,0.267753960,758,Nonie,Garfitt,5329.0048
690,36.39,0.265232744,774,Shalom,Harraway,5278.826
690,36.65,0.264871083,241,Brod,Kuschke,5271.628
690,36.92,0.263979140,548,Guinna,Boame,5253.876
690,37.18,0.263723445,333,Harriot,Melendez,5248.787
690,37.44,0.262589072,679,Welby,Splevings,5226.21
690,37.7,0.258402788,470,Elizabeth,Badham,5142.892
690,37.96,0.255640740,535,Lucais,Edgecombe,5087.92
690,38.21,0.253269996,337,Thorin,Kale,5040.736
690,38.46,0.252051664,434,Fawnia,Baden,5016.488
690,38.71,0.250503526,450,Lorelei,Allcroft,4985.676
690,38.96,0.247850408,206,Willow,Peeters,4932.872
690,39.21,0.247729921,339,Evania,Burnup,4930.474
690,39.45,0.246982683,770,Ruthann,Thaine,4915.602
690,39.7,0.246674683,439,Kelsey,Fardo,4909.472
690,39.95,0.245849214,605,Imojean,Kerford,4893.043
690,40.19,0.245082531,327,Tammie,Dudden,4877.784
690,40.44,0.244550741,381,Emmalynne,Sleeny,4867.2
690,40.68,0.241442809,32,Tobey,Draysey,4805.344
690,40.92,0.241294587,216,Goldy,Digman,4802.394
690,41.16,0.240849871,619,Deena,Frossell,4793.543
690,41.4,0.239533386,664,Rey,Bee,4767.3415
690,41.64,0.239186321,380,Selena,Mattielli,4760.434
690,41.88,0.238680056,119,Leah,Hawken,4750.358
690,42.12,0.238033307,739,Alfy,Osan,4737.486
690,42.35,0.236968221,296,Dannie,Comfort,4716.288
690,42.59,0.236926920,624,Quinn,Schonfelder,4715.466
690,42.82,0.234035743,279,Lazar,Challicum,4657.924
690,43.06,0.233933897,194,Katrinka,Slocumb,4655.897
690,43.29,0.233240089,445,Ileane,Schollick,4642.0884
690,43.52,0.232359983,669,Josselyn,Mattersey,4624.572
690,43.75,0.230544343,273,Astra,Stovell,4588.436
690,43.98,0.227690949,191,Matthias,Vidineev,4531.646
690,44.21,0.227273416,51,Carmita,Heinzel,4523.336
690,44.44,0.226643399,27,Kristian,Blofeld,4510.797
690,44.66,0.226170798,38,Daphne,Boydon,4501.391
690,44.89,0.225731961,680,Demott,Coffelt,4492.657
690,45.11,0.222691205,488,Andrei,Celand,4432.138
690,45.33,0.222440183,376,Finlay,Hillum,4427.142
690,45.55,0.221641343,69,Barnard,Dormer,4411.243
690,45.77,0.219859819,36,Lizabeth,Marcq,4375.786
690,45.99,0.219667482,671,Killian,Vinau,4371.958
690,46.21,0.218972599,249,Glen,Ramage,4358.128
690,46.43,0.218822970,315,Holly,Furnival,4355.15
690,46.65,0.218357504,713,Franky,Brims,4345.886
690,46.87,0.217365323,559,Abdul,Goss,4326.139
690,47.08,0.216009823,483,Neil,Dobrovolski,4299.161
690,47.3,0.215156418,212,Vin,Crookshanks,4282.176
690,47.51,0.214691856,631,Beverie,Lechelle,4272.93
690,47.73,0.214384459,744,Sydney,Ferris,4266.812
690,47.94,0.214081584,55,Damon,Treuge,4260.784
690,48.16,0.213854880,284,Al,Bannard,4256.272
690,48.37,0.213361654,128,Sholom,Keech,4246.4555
690,48.58,0.212740655,753,Katya,Worsnup,4234.096
690,48.79,0.211262457,76,Care,Busfield,4204.676
690,49,0.210943705,364,Casey,Kester,4198.332
690,49.21,0.209006171,659,Horatio,Boost,4159.77
690,49.42,0.208650741,550,Elita,Paolillo,4152.696
690,49.63,0.206789981,601,Galen,Simonyi,4115.662
690,49.83,0.206269597,722,Alika,Cavil,4105.305
690,50.04,0.204720404,225,Onida,Woollhead,4074.472
690,50.24,0.203327321,291,Martica,Liddall,4046.746
690,50.44,0.200510756,711,Stormy,Brundrett,3990.689
690,50.64,0.200197401,164,Giles,Quigley,3984.4524
690,50.84,0.199926713,673,Selie,Kennet,3979.065
690,51.04,0.198449068,695,Wade,Quarry,3949.656
690,51.24,0.197487034,460,Britt,Boyn,3930.509
690,51.44,0.197080353,615,Gwyneth,Belison,3922.415
690,51.63,0.196907060,432,Norry,Seymark,3918.966
690,51.83,0.196628302,131,Saul,Tofanelli,3913.418
690,52.03,0.196396413,197,Gaile,Lassells,3908.8028
690,52.22,0.196376275,572,Padgett,Billion,3908.402
690,52.42,0.196369241,421,Boonie,Jansa,3908.262
690,52.61,0.195419818,282,Dyana,Bodker,3889.366
690,52.81,0.195342843,106,Cyrille,Joskovitch,3887.834
690,53,0.194347296,408,Sly,Patterfield,3868.02
690,53.2,0.192553261,618,Darline,Pechell,3832.314
690,53.39,0.192530650,60,Gilberto,Blench,3831.864
690,53.58,0.191865411,581,Tamma,Camelia,3818.624
690,53.77,0.191707342,652,Merill,Trafford,3815.478
690,53.96,0.191216753,493,Aluin,Lukovic,3805.714
690,54.15,0.190632207,526,Bonny,Bortolutti,3794.08
690,54.34,0.190413281,121,Gretta,Palffy,3789.7228
690,54.54,0.190189853,503,Brendan,Ausiello,3785.276
690,54.72,0.189240531,496,Olag,Dittson,3766.382
690,54.91,0.188921276,379,Cordula,Squier,3760.028
690,55.1,0.188300252,382,Cleon,Lescop,3747.668
690,55.29,0.187723946,288,Dawna,Ree,3736.198
690,55.48,0.187402129,672,Jude,Edensor,3729.793
