Company,First Name,Last Name,Email,Online/In Person,Session not attended,Not Attended %
gizmodo,Alexio,Tytherton,atythertonf8@gizmodo.com,In Person,Iron Viz,50
hud,Brendis,Bloxsom,bbloxsomij@hud.gov,In Person,Iron Viz,50
boston,Demeter,Goggan,dgoggan75@boston.com,In Person,Keynote,33.33
nydailynews,Edmund,Reasun,ereasunno@nydailynews.com,In Person,Prep Tips & Tricks,50
paypal,Ashlin,Deniset,adenisetj6@paypal.com,In Person,Speed Tipping,25
hatena,Herman,Willmott,hwillmottgg@hatena.ne.jp,In Person,Speed Tipping,33.33
prweb,Cal,Dalziell,cdalziell4p@prweb.com,In Person,Keynote,20
yellowpages,Ryan,Maly,rmalyqj@yellowpages.com,In Person,Prep Tips & Tricks,66.67
ifeng,Talya,Harsant,tharsantox@ifeng.com,In Person,Speed Tipping,50
seattletimes,Gris,Burkhill,gburkhillq4@seattletimes.com,In Person,Prep Tips & Tricks,33.33
nifty,Shamus,Guswell,sguswell4f@nifty.com,In Person,Speed Tipping,33.33
umich,Trumann,Garaway,tgaraway9h@umich.edu,In Person,Iron Viz,50
spiegel,Flory,Lewin,flewink1@spiegel.de,In Person,Iron Viz,33.33
dot,Broddy,Duer,bduerb@dot.gov,In Person,Iron Viz,50
hud,Brendis,Bloxsom,bbloxsomij@hud.gov,In Person,Keynote,50
qq,Mercy,Shewry,mshewryfa@qq.com,In Person,Keynote,50
mapy,Dotti,Chiese,dchiese6j@mapy.cz,In Person,Speed Tipping,33.33
dedecms,Berkeley,Lindgren,blindgrenna@dedecms.com,In Person,Prep Tips & Tricks,50
de,Zoe,Ledgister,zledgistera9@de.vu,In Person,Keynote,25
youtube,Ollie,Grimbaldeston,ogrimbaldestonao@youtube.com,In Person,Prep Tips & Tricks,20
yellowbook,Tilda,Slocket,tslocketfn@yellowbook.com,In Person,Devs on Stage,50
meetup,Martin,Somerset,msomerset4@meetup.com,In Person,Speed Tipping,33.33
columbia,Kettie,Fursse,kfursse5b@columbia.edu,In Person,Speed Tipping,33.33
typepad,Griselda,Busain,gbusain5w@typepad.com,In Person,Iron Viz,33.33
gizmodo,Alexio,Tytherton,atythertonf8@gizmodo.com,In Person,Speed Tipping,50
unesco,Charita,Nethercott,cnethercottbh@unesco.org,In Person,Keynote,25
statcounter,Adolpho,Jean,ajean5w@statcounter.com,In Person,Prep Tips & Tricks,50
pinterest,Maddalena,Waldera,mwaldera5l@pinterest.com,In Person,Iron Viz,33.33
nydailynews,Lea,Jahner,ljahneri6@nydailynews.com,In Person,Iron Viz,20
yellowpages,Ryan,Maly,rmalyqj@yellowpages.com,In Person,Iron Viz,66.67
hostgator,Robby,Lawrence,rlawrenceq4@hostgator.com,In Person,Devs on Stage,66.67
jugem,Sula,Koppen,skoppen7i@jugem.jp,In Person,Iron Viz,33.33
sina,Prudi,Sefton,psefton98@sina.com.cn,In Person,Prep Tips & Tricks,50
flickr,Georgette,Jordon,gjordon6k@flickr.com,In Person,Speed Tipping,100
vk,Meggi,Dann,mdann19@vk.com,In Person,Devs on Stage,50
oaic,Galvan,Burfoot,gburfoot81@oaic.gov.au,In Person,Iron Viz,50
diigo,Raimondo,Monkeman,rmonkeman1m@diigo.com,In Person,Keynote,25
businessinsider,Rutger,Cawtheray,rcawtheraypw@businessinsider.com,In Person,Iron Viz,25
hostgator,Robby,Lawrence,rlawrenceq4@hostgator.com,In Person,Prep Tips & Tricks,66.67
hexun,Derril,McGloin,dmcgloinkl@hexun.com,In Person,Devs on Stage,33.33
hud,Bernie,Zwicker,bzwicker2m@hud.gov,In Person,Speed Tipping,50
yale,Gerik,Byk,gbykcd@yale.edu,In Person,Iron Viz,66.67
lulu,Aleda,Rolls,arollsnr@lulu.com,In Person,Prep Tips & Tricks,100
virginia,Yettie,MacMurray,ymacmurray5k@virginia.edu,In Person,Devs on Stage,33.33
netlog,Julissa,Simka,jsimka8z@netlog.com,In Person,Devs on Stage,25
