Company,First Name,Last Name,Email,Online/In Person,Session not attended,Not Attended %
sciencedirect,Abagael,Simants,asimants4g@sciencedirect.com,Online,Prep Tips & Tricks,33.33
drupal,Abbye,Armytage,aarmytagemy@drupal.org,Online,Prep Tips & Tricks,25.0
sitemeter,Abner,Vassano,avassanofw@sitemeter.com,Online,Prep Tips & Tricks,50.0
businesswire,Abra,MacKay,amackay4f@businesswire.com,Online,Speed Tipping,33.33
ox,Adler,Kift,akift8a@ox.ac.uk,Online,Speed Tipping,25.0
nsw,Adolphe,Hanks,ahanksfe@nsw.gov.au,Online,Speed Tipping,25.0
cmu,Adriena,Aust,aaust7b@cmu.edu,Online,Speed Tipping,33.33
pagesperso-orange,Agnese,Groome,agroomeg4@pagesperso-orange.fr,Online,Iron Viz,50.0
hugedomains,Albrecht,Aartsen,aaartsene@hugedomains.com,Online,Iron Viz,25.0
nydailynews,Alika,Goodred,agoodredbj@nydailynews.com,Online,Devs on Stage,50.0
deliciousdays,Almeda,Hinckes,ahinckes82@deliciousdays.com,Online,Keynote,40.0
deliciousdays,Almeda,Hinckes,ahinckes82@deliciousdays.com,Online,Iron Viz,40.0
a8,Almira,Griffoen,agriffoen1f@a8.net,Online,Keynote,50.0
a8,Almira,Griffoen,agriffoen1f@a8.net,Online,Prep Tips & Tricks,50.0
cnn,Alon,McGraw,amcgraw3r@cnn.com,Online,Iron Viz,50.0
imgur,Aluino,Kilbee,akilbeefg@imgur.com,Online,Iron Viz,33.33
stumbleupon,Alwin,Boutflour,aboutflourah@stumbleupon.com,Online,Iron Viz,33.33
mayoclinic,Ambrose,Noot,anoot3j@mayoclinic.com,Online,Iron Viz,25.0
ifeng,Amii,Doble,adoble3u@ifeng.com,Online,Devs on Stage,20.0
oakley,Amil,Sinnett,asinnett6n@oakley.com,Online,Keynote,33.33
ihg,Andeee,Chiplen,achiplenjt@ihg.com,Online,Speed Tipping,20.0
netscape,Angeline,O'Gavin,aogavin25@netscape.com,Online,Devs on Stage,25.0
hostgator,Angelle,Haddacks,ahaddacksf4@hostgator.com,Online,Iron Viz,33.33
quantcast,Annabella,Mitro,amitroox@quantcast.com,Online,Keynote,20.0
ted,Annalee,Warrender,awarrender79@ted.com,Online,Keynote,100.0
slideshare,Anton,Brenstuhl,abrenstuhl5e@slideshare.net,Online,Devs on Stage,33.33
deliciousdays,Anton,Sperring,asperringnp@deliciousdays.com,Online,Devs on Stage,33.33
dropbox,Ardath,Grist,agrist6g@dropbox.com,Online,Speed Tipping,33.33
theglobeandmail,Ardyce,Southward,asouthwardkk@theglobeandmail.com,Online,Keynote,25.0
telegraph,Ardyth,Foresight,aforesightio@telegraph.co.uk,Online,Speed Tipping,25.0
ocn,Ari,Yitzhok,ayitzhok6m@ocn.ne.jp,Online,Devs on Stage,33.33
w3,Ario,Lackmann,alackmannno@w3.org,Online,Iron Viz,33.33
wisc,Arliene,Jado,ajado8k@wisc.edu,Online,Speed Tipping,33.33
aol,Arline,Seabrook,aseabrookm8@aol.com,Online,Speed Tipping,100.0
comcast,Arne,Boom,aboom1o@comcast.net,Online,Iron Viz,50.0
blog,Artemus,Jebb,ajebb6d@blog.com,Online,Devs on Stage,33.33
