Party,Adults in Party,Children in Party,Double/Twin,Requires Accessible Room?,Additional Requests,Request Satisfaction %,Room,Adults,Children,Features
Marusik,1,0,Twin,N,"Bath, High Floor",100,407,2,0,"High Floor, Bath, Twin"
Marusik,1,0,Twin,N,"Bath, High Floor",100,405,2,0,"High Floor, Bath, Twin"
Marusik,1,0,Twin,N,"Bath, High Floor",100,401,2,0,"High Floor, Bath, Near to lift, Twin"
Lansdale,1,0,Twin,N,High Floor,100,408,2,0,"High Floor, Twin"
Lansdale,1,0,Twin,N,High Floor,100,407,2,0,"High Floor, Bath, Twin"
Lansdale,1,0,Twin,N,High Floor,100,406,2,0,"High Floor, Twin"
Lansdale,1,0,Twin,N,High Floor,100,405,2,0,"High Floor, Bath, Twin"
Lansdale,1,0,Twin,N,High Floor,100,401,2,0,"High Floor, Bath, Near to lift, Twin"
Corain,4,0,Double,N,"Bath, High Floor, NOT Near to lift",100,604,4,0,"High Floor, Bath, Double"
Corain,4,0,Double,N,"Bath, High Floor, NOT Near to lift",100,603,4,0,"High Floor, Bath, Double"
Corain,4,0,Double,N,"Bath, High Floor, NOT Near to lift",100,602,4,0,"High Floor, Bath, Double"
Vowell,4,0,Double,N,"High Floor, NOT Near to lift",100,604,4,0,"High Floor, Bath, Double"
Vowell,4,0,Double,N,"High Floor, NOT Near to lift",100,603,4,0,"High Floor, Bath, Double"
Vowell,4,0,Double,N,"High Floor, NOT Near to lift",100,602,4,0,"High Floor, Bath, Double"
Fearby,2,0,Double,Y,,100,104,2,0,"Accessible, Double"
Fearby,2,0,Double,Y,,100,103,2,0,"Accessible, Double"
Fearby,2,0,Double,Y,,100,102,2,0,"Accessible, Double"
Fearby,2,0,Double,Y,,100,101,2,0,"Accessible, Near to lift, Double"
Fallens,1,0,Twin,N,,100,408,2,0,"High Floor, Twin"
Fallens,1,0,Twin,N,,100,407,2,0,"High Floor, Bath, Twin"
Fallens,1,0,Twin,N,,100,406,2,0,"High Floor, Twin"
Fallens,1,0,Twin,N,,100,405,2,0,"High Floor, Bath, Twin"
Fallens,1,0,Twin,N,,100,401,2,0,"High Floor, Bath, Near to lift, Twin"
Fallens,1,0,Twin,N,,100,303,2,0,"Bath, Twin"
