Party,Adults in Party,Children in Party,Double/Twin,Requires Accessible Room?,Additional Requests,Request Satisfaction %,Room,Adults,Children,Features
Corain,4,0,Double,N,"Bath, High Floor, NOT Near to lift",100.0,602,4,0.0,"High Floor, Bath, Double"
Corain,4,0,Double,N,"Bath, High Floor, NOT Near to lift",100.0,603,4,0.0,"High Floor, Bath, Double"
Corain,4,0,Double,N,"Bath, High Floor, NOT Near to lift",100.0,604,4,0.0,"High Floor, Bath, Double"
Aarons,2,0,Twin,N,Bath,100.0,302,2,1.0,"Bath, Twin"
Aarons,2,0,Twin,N,Bath,100.0,303,2,0.0,"Bath, Twin"
Aarons,2,0,Twin,N,Bath,100.0,304,2,1.0,"Bath, Twin"
Aarons,2,0,Twin,N,Bath,100.0,401,2,0.0,"High Floor, Bath, Near to lift, Twin"
Aarons,2,0,Twin,N,Bath,100.0,402,2,1.0,"High Floor, Bath, Twin"
Aarons,2,0,Twin,N,Bath,100.0,405,2,0.0,"High Floor, Bath, Twin"
Aarons,2,0,Twin,N,Bath,100.0,407,2,0.0,"High Floor, Bath, Twin"
Saph,2,1,Double,N,"Bath, NOT Near to lift",100.0,206,2,1.0,"Bath, Double"
Saph,2,1,Double,N,"Bath, NOT Near to lift",100.0,307,2,1.0,"Bath, Double"
Saph,2,1,Double,N,"Bath, NOT Near to lift",100.0,503,2,1.0,"High Floor, Bath, Double"
Saph,2,1,Double,N,"Bath, NOT Near to lift",100.0,504,2,1.0,"High Floor, Bath, Double"
Saph,2,1,Double,N,"Bath, NOT Near to lift",100.0,506,2,1.0,"High Floor, Bath, Double"
Saph,2,1,Double,N,"Bath, NOT Near to lift",100.0,507,2,1.0,"High Floor, Bath, Double"
Baxstare,1,1,Double,N,"Bath, High Floor",100.0,501,2,1.0,"High Floor, Bath, Near to lift, Double"
Baxstare,1,1,Double,N,"Bath, High Floor",100.0,503,2,1.0,"High Floor, Bath, Double"
Baxstare,1,1,Double,N,"Bath, High Floor",100.0,504,2,1.0,"High Floor, Bath, Double"
Baxstare,1,1,Double,N,"Bath, High Floor",100.0,506,2,1.0,"High Floor, Bath, Double"
Baxstare,1,1,Double,N,"Bath, High Floor",100.0,507,2,1.0,"High Floor, Bath, Double"
Kelle,1,1,Twin,N,Bath,100.0,302,2,1.0,"Bath, Twin"
Kelle,1,1,Twin,N,Bath,100.0,304,2,1.0,"Bath, Twin"
Kelle,1,1,Twin,N,Bath,100.0,402,2,1.0,"High Floor, Bath, Twin"
Segeswoeth,4,0,Double,N,"High Floor, NOT Near to lift",100.0,602,4,0.0,"High Floor, Bath, Double"
