scheduled_date,emp_id,full_name,first_name,last_name,scheduled
1/1/2022,3,Maressa Dearell,Maressa,Dearell,False
1/1/2022,4,Micheil Manklow,Micheil,Manklow,False
1/1/2022,8,Nikola Baszkiewicz,Nikola,Baszkiewicz,False
1/1/2022,6,Graig Colvin,Graig,Colvin,False
1/1/2022,7,Jennilee Brimson,Jennilee,Brimson,False
1/1/2022,5,Burtie Connar,Burtie,Connar,False
1/1/2022,9,Chet Fitzharris,Chet,Fitzharris,False
1/1/2022,2,Curtis Utterson,Curtis,Utterson,False
1/1/2022,10,Aile Antonazzi,Aile,Antonazzi,False
1/1/2022,1,Brooke Spurgeon,Brooke,Spurgeon,False
1/2/2022,3,Maressa Dearell,Maressa,Dearell,False
1/2/2022,4,Micheil Manklow,Micheil,Manklow,False
1/2/2022,8,Nikola Baszkiewicz,Nikola,Baszkiewicz,False
1/2/2022,6,Graig Colvin,Graig,Colvin,False
1/2/2022,7,Jennilee Brimson,Jennilee,Brimson,False
1/2/2022,5,Burtie Connar,Burtie,Connar,False
1/2/2022,9,Chet Fitzharris,Chet,Fitzharris,False
1/2/2022,2,Curtis Utterson,Curtis,Utterson,False
1/2/2022,10,Aile Antonazzi,Aile,Antonazzi,False
1/2/2022,1,Brooke Spurgeon,Brooke,Spurgeon,False
1/3/2022,3,Maressa Dearell,Maressa,Dearell,False
1/3/2022,4,Micheil Manklow,Micheil,Manklow,False
1/3/2022,8,Nikola Baszkiewicz,Nikola,Baszkiewicz,False
1/3/2022,6,Graig Colvin,Graig,Colvin,False
1/3/2022,7,Jennilee Brimson,Jennilee,Brimson,False
1/3/2022,5,Burtie Connar,Burtie,Connar,False
1/3/2022,9,Chet Fitzharris,Chet,Fitzharris,False
1/3/2022,2,Curtis Utterson,Curtis,Utterson,False
1/3/2022,10,Aile Antonazzi,Aile,Antonazzi,False
1/3/2022,1,Brooke Spurgeon,Brooke,Spurgeon,False
1/4/2022,3,Maressa Dearell,Maressa,Dearell,False
1/4/2022,4,Micheil Manklow,Micheil,Manklow,False
1/4/2022,8,Nikola Baszkiewicz,Nikola,Baszkiewicz,False
1/4/2022,6,Graig Colvin,Graig,Colvin,False
1/4/2022,7,Jennilee Brimson,Jennilee,Brimson,False
1/4/2022,5,Burtie Connar,Burtie,Connar,False
1/4/2022,9,Chet Fitzharris,Chet,Fitzharris,False
1/4/2022,2,Curtis Utterson,Curtis,Utterson,False
1/4/2022,10,Aile Antonazzi,Aile,Antonazzi,False
1/4/2022,1,Brooke Spurgeon,Brooke,Spurgeon,False
1/5/2022,3,Maressa Dearell,Maressa,Dearell,False
1/5/2022,4,Micheil Manklow,Micheil,Manklow,False
1/5/2022,8,Nikola Baszkiewicz,Nikola,Baszkiewicz,False
1/5/2022,6,Graig Colvin,Graig,Colvin,False
1/5/2022,7,Jennilee Brimson,Jennilee,Brimson,False
1/5/2022,5,Burtie Connar,Burtie,Connar,False
1/5/2022,9,Chet Fitzharris,Chet,Fitzharris,False
1/5/2022,2,Curtis Utterson,Curtis,Utterson,False
1/5/2022,10,Aile Antonazzi,Aile,Antonazzi,False
1/5/2022,1,Brooke Spurgeon,Brooke,Spurgeon,False
