Opportunity Name,StageName,Amount,Created By Name,Owner Name,Account Name,Account Type,Account Owner Name,Account Created By Name,Opportunity ID,AccountId,OwnerId,CreatedById
Opportunity for Bowers1284,Closed Won,229470,Jenny Martin,Irene McCoy,Gill754 Inc,Partner,Doroth Gardner,Jenny Martin,0068d000009XKmrAAG,0018d00000Gp05pAAB,0058d000004R3sWAAS,0058d000003BJO9AAO
Opportunity for McKinney1548,Qualification,3526355,Jenny Martin,Johnny Green,Becker755 Inc,Partner,Chris Riley,Jenny Martin,0068d000009XKj8AAG,0018d00000Gp05qAAB,0058d000004R3sTAAS,0058d000003BJO9AAO
Opportunity for Andrews1118,Closed Won,591520,Jenny Martin,Bruce Kennedy,Becker755 Inc,Partner,Chris Riley,Jenny Martin,0068d000009XKhIAAW,0018d00000Gp05qAAB,0058d000004R3sIAAS,0058d000003BJO9AAO
Opportunity for Mullins1899,Closed Won,498520,Jenny Martin,Laura Garza,Hall758 Inc,Customer,Chris Riley,Jenny Martin,0068d000009XKhpAAG,0018d00000Gp05tAAB,0058d000004R3sHAAS,0058d000003BJO9AAO
Opportunity for Pope508,Closed Lost,499523,Jenny Martin,Doroth Gardner,Hoffman761 Inc,Customer,Harold Campbell,Jenny Martin,0068d000009XKlOAAW,0018d00000Gp05wAAB,0058d000004R3sJAAS,0058d000003BJO9AAO
Opportunity for Drake768,Perception Analysis,70368,Jenny Martin,Chris Riley,Fleming762 Inc,Customer,Chris Riley,Jenny Martin,0068d000009XKhvAAG,0018d00000Gp05xAAB,0058d000004R3sOAAS,0058d000003BJO9AAO
Opportunity for Bates1455,Value Proposition,482025,Jenny Martin,Bruce Kennedy,Fleming762 Inc,Customer,Chris Riley,Jenny Martin,0068d000009XKfvAAG,0018d00000Gp05xAAB,0058d000004R3sIAAS,0058d000003BJO9AAO
Opportunity for Henry1665,Closed Won,49760,Jenny Martin,Dennis Howard,Brewer763 Inc,Customer,Dennis Howard,Jenny Martin,0068d000009XKn8AAG,0018d00000Gp05yAAB,0058d000004R3sQAAS,0058d000003BJO9AAO
Opportunity for Daniels627,Qualification,1422600,Jenny Martin,Laura Garza,Brewer763 Inc,Customer,Dennis Howard,Jenny Martin,0068d000009XKpNAAW,0018d00000Gp05yAAB,0058d000004R3sHAAS,0058d000003BJO9AAO
Opportunity for Hunt157,Closed Won,353136,Jenny Martin,Eric Gutierrez,Brewer763 Inc,Customer,Dennis Howard,Jenny Martin,0068d000009XKdXAAW,0018d00000Gp05yAAB,0058d000004R3sLAAS,0058d000003BJO9AAO
Opportunity for Luna1104,Closed Won,228220,Jenny Martin,Eric Sanchez,Sharp764 Inc,Customer,Eric Sanchez,Jenny Martin,0068d000009XKgYAAW,0018d00000Gp05zAAB,0058d000004R3sXAAS,0058d000003BJO9AAO
Opportunity for Blair652,Closed Won,965425,Jenny Martin,Laura Garza,Sharp764 Inc,Customer,Eric Sanchez,Jenny Martin,0068d000009XKqJAAW,0018d00000Gp05zAAB,0058d000004R3sHAAS,0058d000003BJO9AAO
Opportunity for Morales903,Closed Won,2317340,Jenny Martin,Evelyn Williamson,Sharp764 Inc,Customer,Eric Sanchez,Jenny Martin,0068d000009XKmhAAG,0018d00000Gp05zAAB,0058d000004R3sVAAS,0058d000003BJO9AAO
Opportunity for Smith1744,Closed Lost,535160,Jenny Martin,Eric Sanchez,Casey767 Inc,Customer,Evelyn Williamson,Jenny Martin,0068d000009XKpCAAW,0018d00000Gp062AAB,0058d000004R3sXAAS,0058d000003BJO9AAO
Opportunity for Maldonado1393,Closed Won,739550,Jenny Martin,John Williams,Rodriguez768 Inc,Customer,Nicolas Weaver,Jenny Martin,0068d000009XKppAAG,0018d00000Gp063AAB,0058d000004R3sYAAS,0058d000003BJO9AAO
Opportunity for Tyler313,Closed Lost,55530,Jenny Martin,Laura Palmer,Rodriguez768 Inc,Customer,Nicolas Weaver,Jenny Martin,0068d000009XKf0AAG,0018d00000Gp063AAB,0058d000004R3sRAAS,0058d000003BJO9AAO
Opportunity for Collins378,Closed Won,446850,Jenny Martin,Eric Gutierrez,Rodriguez768 Inc,Customer,Nicolas Weaver,Jenny Martin,0068d000009XKdqAAG,0018d00000Gp063AAB,0058d000004R3sLAAS,0058d000003BJO9AAO
Opportunity for Guerrero433,Closed Won,274656,Jenny Martin,Catherine Brown,Wilkerson769 Inc,Customer,Dennis Howard,Jenny Martin,0068d000009XKigAAG,0018d00000Gp064AAB,0058d000004R3sUAAS,0058d000003BJO9AAO
Opportunity for Jackson959,Closed Won,2632925,Jenny Martin,Doroth Gardner,Lawson921 Inc,Customer,Catherine Brown,Jenny Martin,0068d000009XKo8AAG,0018d00000Gp066AAB,0058d000004R3sJAAS,0058d000003BJO9AAO
Opportunity for McBride960,Closed Won,412385,Jenny Martin,Chris Riley,Bennett922 Inc,Customer,Nicolas Weaver,Jenny Martin,0068d000009XKo9AAG,0018d00000Gp067AAB,0058d000004R3sOAAS,0058d000003BJO9AAO
