Opportunity ID,AccountId,Opportunity Name,StageName,Amount,OwnerId,CreatedById,Account Name,Account Type,Created By Name,Owner Name,Account Created By Name,Account Owner Name
0068d000009MWGPAA4,0018d00000Ggx86AAB,Opportunity for Harper529,Closed Won,17621,0058d000004QHaiAAG,0058d000004B2qYAAS,Bowman347 Inc,Customer,Lorna Brown,Dennis Howard,Lorna Brown,Irene McCoy
0068d000009MWGQAA4,0018d00000Ggwy8AAB,Opportunity for Duncan873,Closed Won,2400250,0058d000004QHapAAG,0058d000004B2qYAAS,Cox450 Inc,Customer,Lorna Brown,Eric Sanchez,Lorna Brown,Irene McCoy
0068d000009MWGRAA4,0018d00000GgwzDAAR,Opportunity for Daniel875,Closed Won,5023650,0058d000004QHadAAG,0058d000004B2qYAAS,Stevenson954 Inc,Customer,Lorna Brown,Eric Gutierrez,Lorna Brown,Kelly Frazier
0068d000009MWGTAA4,0018d00000GgwugAAB,Opportunity for McKenzie881,Closed Won,1684050,0058d000004QHacAAG,0058d000004B2qYAAS,Christensen164 Inc,Customer,Lorna Brown,Irene Kelley,Lorna Brown,Harold Campbell
0068d000009MWGUAA4,0018d00000Ggx3VAAR,Opportunity for Duncan885,Qualification,413101,0058d000004QHapAAG,0058d000004B2qYAAS,Murphy861 Inc,Partner,Lorna Brown,Eric Sanchez,Lorna Brown,Julie Chavez
0068d000009MWGZAA4,0018d00000GgwumAAB,Opportunity for Baker1261,Closed Lost,41580,0058d000004QHaiAAG,0058d000004B2qYAAS,Coleman170 Inc,Customer,Lorna Brown,Dennis Howard,Lorna Brown,John Williams
0068d000009MWJVAA4,0018d00000Ggx4sAAB,Opportunity for White1730,Negotiation/Review,1994920,0058d000004QHaaAAG,0058d000004B2qYAAS,Collins522 Inc,Customer,Lorna Brown,Bruce Kennedy,Lorna Brown,Chris Riley
0068d000009MWJWAA4,0018d00000Ggx5QAAR,Opportunity for Griffin1731,Closed Won,455096,0058d000004QHagAAG,0058d000004B2qYAAS,Bradley715 Inc,Customer,Lorna Brown,Chris Riley,Lorna Brown,Dennis Howard
0068d000009MWJXAA4,0018d00000GgwxsAAB,Opportunity for Marsh1734,Closed Won,309686,0058d000004QHapAAG,0058d000004B2qYAAS,Perez237 Inc,Partner,Lorna Brown,Eric Sanchez,Lorna Brown,Chris Riley
0068d000009MWJZAA4,0018d00000Ggx6jAAB,Opportunity for Arnold1738,Closed Lost,257045,0058d000004QHajAAG,0058d000004B2qYAAS,Crawford536 Inc,Customer,Lorna Brown,Laura Palmer,Lorna Brown,Irene Kelley
