Record ID,Employee,Work Level,Stage,Date
1,Andrea,3,Application Received,11/10/2019
2,,,Interview,31/10/2019
3,,,Start Date,06/01/2020
4,,,Work Anniverary,06/01/2021
5,,4,Promotion,01/03/2021
6,,,Parental Leave Start Date,20/12/2021
7,,,Work Anniverary,06/01/2022
8,,,Parental Leave End Date,05/09/2022
9,Bobby,1,Application Received,20/01/2020
10,,,Interview,14/02/2020
11,,,Start Date,13/03/2020
12,,,Work Anniverary,13/03/2021
13,,2,Promotion,12/09/2021
14,,,Work Anniverary,13/03/2022
15,Chloe,2,Application Received,01/06/2022
16,,,Interview,30/06/2022
17,,,Start Date,26/09/2022
