Transaction ID,Account Number,Sort Code,Bank
3888,62230725,95-98-82,Data Source Bank
4746,83172326,42-86-38,Barclays Bank
5404,34302539,53-28-21,Barclays Bank
9013,13350031,93-87-71,Natwest
2535,68745993,57-14-32,Barclays Bank
4656,60830548,79-82-74,Barclays Bank
1245,68373125,50-84-66,HSBC
9741,43638730,56-59-39,HSBC
1671,77144031,19-55-44,HSBC
5574,40722610,10-01-98,Halifax
1298,30601237,42-63-56,Santander
7086,56630552,59-77-44,Data Source Bank
3959,82773607,35-59-87,Barclays Bank
6400,38383736,80-43-62,Santander
4870,79724968,51-07-41,Lloyds Bank
7778,38687214,55-07-38,Barclays Bank
1425,96930299,74-78-92,HSBC
1314,71210735,61-85-79,Data Source Bank
2774,10519002,57-54-87,HSBC
1493,12193988,86-54-42,Data Source Bank
5644,77656886,21-84-17,Barclays Bank
8664,51052559,21-09-04,Santander
8110,40072077,65-90-52,Santander
1572,72219605,88-53-25,HSBC
3279,58721386,34-84-32,HSBC
3892,53393048,23-65-18,Santander
5042,53092685,23-91-44,HSBC
1673,59488515,92-57-52,Halifax
9992,10170574,71-69-40,HSBC
6948,13213297,16-58-65,Halifax
9181,67860804,96-92-40,Barclays Bank
7066,85919526,54-10-03,Santander
5778,70255646,75-78-34,Santander
3890,75951736,70-03-74,Santander
1126,69969270,45-82-55,Lloyds Bank
8403,85946847,29-27-09,Natwest
1327,60934362,25-31-88,Santander
4580,57383660,24-72-99,Halifax
7353,21915880,13-76-60,Halifax
1952,53786334,21-27-54,Data Source Bank
2882,72954282,43-47-40,HSBC
4859,66763721,66-30-74,HSBC
4060,37658820,58-37-23,Natwest
6933,56478271,41-19-26,Santander
4756,94377199,26-63-85,Santander
4251,27270504,64-48-21,Halifax
4102,50508460,59-66-01,Halifax
9137,78873999,41-31-60,Data Source Bank
7809,33725878,19-61-14,Natwest
9307,22610455,34-76-28,Natwest
9415,44418182,44-47-81,Santander
2902,62609049,67-35-70,HSBC
2031,61059913,73-48-50,Santander
4856,38183636,74-72-11,HSBC
2570,92497278,20-76-63,Barclays Bank
4063,20220923,28-17-86,Data Source Bank
1730,76275760,49-53-64,Barclays Bank
6155,90692776,24-81-52,HSBC
3600,21348995,33-53-08,Halifax
8453,30335066,64-94-58,Lloyds Bank
1716,52310258,68-36-36,Santander
8864,91658439,43-62-20,Santander
9760,25504883,90-53-55,HSBC
2354,43602961,23-88-18,Barclays Bank
7081,25862478,99-83-60,HSBC
5955,71124764,97-84-96,Lloyds Bank
8500,46967961,87-49-38,Lloyds Bank
6054,47199472,96-88-54,Lloyds Bank
1614,38668066,69-11-25,Halifax
1215,25328896,86-44-76,Barclays Bank
4653,26844967,98-29-08,Halifax
5773,82021377,43-86-13,Lloyds Bank
1281,95862106,42-25-27,Natwest
3770,26013637,32-54-90,Data Source Bank
8808,41599267,97-03-85,HSBC
7665,86932953,97-77-47,Barclays Bank
5834,35061906,73-78-90,Natwest
6999,46226858,79-64-75,Natwest
3598,53420865,93-26-30,Natwest
2760,85744933,28-06-60,Data Source Bank
9224,32950330,58-34-61,HSBC
1062,50400945,75-18-94,Barclays Bank
2953,80259094,16-15-74,Barclays Bank
9530,74379515,70-70-05,Data Source Bank
8629,83955552,65-35-80,Natwest
7268,96412639,88-75-24,Natwest
2340,82753835,95-74-19,HSBC
7485,63007765,63-46-17,Lloyds Bank
9096,32710603,74-25-95,HSBC
2797,47474979,36-63-21,Halifax
9195,96432979,29-36-99,Barclays Bank
2868,53579089,81-89-96,HSBC
3270,42126094,16-71-07,Natwest
8813,83475180,63-58-91,Lloyds Bank
7983,58775796,67-18-97,Natwest
9373,44568613,24-15-12,HSBC
2021,72261023,59-17-51,Lloyds Bank
6764,10570182,29-72-39,Data Source Bank
3286,47326725,21-85-30,Halifax
7423,75616805,49-31-26,Halifax
