Account Number,Account Type,Account Holder ID,Balance Date,Balance
10005367,Platinum,70390615,2023-01-31,728.25
10011977,Basic,20123998,2023-01-31,676.54
10024680,Platinum,54374080,2023-01-31,567.46
10031238,Basic,97027297,2023-01-31,576.52
10034341,Joint,"89920386, 97325900",2023-01-31,390.39
10079965,Basic,89460366,2023-01-31,799.27
10091076,Platinum,53258828,2023-01-31,831.83
10231977,Basic,41402857,2023-01-31,61.63
10232603,Gold,08882143,2023-01-31,732.55
10243581,Gold,84620072,2023-01-31,104.27
10271519,Platinum,36711164,2023-01-31,50.02
10273387,Gold,90848186,2023-01-31,581.83
10288821,Gold,20689914,2023-01-31,642.41
10295384,Gold,32962946,2023-01-31,153.85
10350324,Gold,93891526,2023-01-31,861.81
10437896,Gold,70146385,2023-01-31,661.08
10449180,Basic,95870139,2023-01-31,228.24
10464544,Gold,41781256,2023-01-31,755.99
10473116,Platinum,97862441,2023-01-31,387.7
10521885,Gold,35970899,2023-01-31,54.87
10553619,Basic,58583983,2023-01-31,756.2
10554116,Platinum,12156910,2023-01-31,243.95
10586481,Platinum,17507603,2023-01-31,73.83
10608220,Platinum,15333783,2023-01-31,632.92
10631690,Gold,57436121,2023-01-31,947.45
10675607,Gold,00973472,2023-01-31,284.84
10725127,Basic,34435244,2023-01-31,984.69
10769769,Basic,92082288,2023-01-31,906.91
10783139,Basic,89483120,2023-01-31,992.98
10799356,Gold,26582406,2023-01-31,915.04
10819898,Basic,75138469,2023-01-31,750.25
10842511,Gold,38976460,2023-01-31,651.77
10847941,Gold,61540658,2023-01-31,40.25
10864084,Gold,69466662,2023-01-31,119.98
10942334,Gold,49175412,2023-01-31,55.42
10949168,Gold,62982083,2023-01-31,471.8
10989769,Gold,21915830,2023-01-31,334.18
11008868,Basic,19255220,2023-01-31,271.3
11026937,Gold,84578260,2023-01-31,303.44
11061291,Gold,25497383,2023-01-31,72.7
11067879,Basic,38034670,2023-01-31,481.56
11110085,Basic,11657827,2023-01-31,861.29
11150945,Gold,17900058,2023-01-31,858.83
11228111,Basic,13413964,2023-01-31,130.36
11242986,Platinum,44904185,2023-01-31,344.68
11251776,Basic,17643987,2023-01-31,504.02
11302888,Basic,99386553,2023-01-31,458.83
11306584,Basic,67065188,2023-01-31,522.4
11333185,Gold,12386822,2023-01-31,693.23
11346696,Basic,82550379,2023-01-31,661.99
11359678,Platinum,24053861,2023-01-31,837.17
11360263,Joint,"62645453, 45852098",2023-01-31,136.79
11368995,Gold,52131845,2023-01-31,565.8
11437275,Platinum,54939523,2023-01-31,115.34
11438427,Basic,12807209,2023-01-31,484.08
11463412,Platinum,62319872,2023-01-31,342.53
11475827,Platinum,20954905,2023-01-31,363.88
11522216,Basic,03180528,2023-01-31,590.37
11662506,Basic,41390313,2023-01-31,573.89
11694020,Platinum,30037735,2023-01-31,379.2
11717885,Basic,61323976,2023-01-31,6.06
11728970,Basic,85857823,2023-01-31,711.65
11736814,Basic,73941848,2023-01-31,381.51
11744491,Basic,48080791,2023-01-31,105.92
11764022,Gold,37448131,2023-01-31,286.66
11778031,Gold,34747616,2023-01-31,514.7
11790056,Basic,67432721,2023-01-31,49.7
11804173,Gold,21694594,2023-01-31,353.62
11826060,Platinum,62032743,2023-01-31,782.13
11831265,Gold,00325777,2023-01-31,292.14
11836917,Gold,49233956,2023-01-31,650.14
11846043,Basic,21844263,2023-01-31,915.59
11882775,Basic,50701874,2023-01-31,299.41
11910409,Gold,99328958,2023-01-31,241.22
11928523,Platinum,58725872,2023-01-31,818.51
12035637,Gold,14770865,2023-01-31,461.35
12042151,Gold,57866188,2023-01-31,336.44
12088180,Platinum,55917521,2023-01-31,656.51
12099406,Basic,69196652,2023-01-31,681.11
12111805,Gold,72036799,2023-01-31,890.99
12172627,Gold,77761706,2023-01-31,550.41
12185627,Gold,87924327,2023-01-31,873.23
12198380,Gold,40448365,2023-01-31,445.46
12199229,Gold,12778869,2023-01-31,804
