Transaction ID,Account To,Transaction Date,Value,Name,Date of Birth,Contact Number,First Line of Address,Account Number,Account Type,Balance Date,Balance
4230172990,68315462,09/02/2023,1410.1,Federico Cathro,13/12/1985,07283906757,12 Green Hill,10231977,Basic,31/01/2023,61.63
7252109585,69344396,02/02/2023,1190.9,Kizzee Puddephatt,18/10/2003,07598835878,72404 Maywood Avenue,10232603,Gold,31/01/2023,732.55
9161410454,91972687,10/02/2023,1128.4,Kizzee Puddephatt,18/10/2003,07598835878,72404 Maywood Avenue,10232603,Gold,31/01/2023,732.55
7934676808,69664627,12/02/2023,1482.9,Kalvin Duetschens,27/03/1965,07727619510,19032 Duke Parkway,10243581,Gold,31/01/2023,104.27
108536548,86207903,06/02/2023,1085.4,Dud Gaunt,04/12/1983,07681115087,3 Canary Avenue,10553619,Basic,31/01/2023,756.2
2843750091,20090784,04/02/2023,1263.9,Dud Gaunt,04/12/1983,07681115087,3 Canary Avenue,10553619,Basic,31/01/2023,756.2
1066977682,84714323,04/02/2023,1268.7,Adeline Oxer,22/11/1998,07810160404,97044 Meadow Vale Avenue,10725127,Basic,31/01/2023,984.69
1019117125,43623061,02/02/2023,1502.2,Babbette Bromby,24/05/1936,07355990194,447 Dwight Circle,10769769,Basic,31/01/2023,906.91
9497069960,69540137,14/02/2023,1314.7,Emmi Sinnie,29/01/1954,07304047316,76493 Jenifer Place,10799356,Gold,31/01/2023,915.04
8938004112,49172838,13/02/2023,1545.5,Dyana Gianullo,27/11/1988,07517614468,763 Fulton Trail,10864084,Gold,31/01/2023,119.98
2499034262,28251857,02/02/2023,1501.3,Shae Oxberry,05/08/1938,07802003865,9401 Village Pass,11228111,Basic,31/01/2023,130.36
8140515736,88570753,07/02/2023,1440.9,Tandi Aberkirdo,13/05/2001,07224213952,40 Buell Crossing,11333185,Gold,31/01/2023,693.23
973180730,26632358,13/02/2023,1487.7,Sonnnie Lettington,10/09/1956,07690573888,6 Homewood Junction,11346696,Basic,31/01/2023,661.99
7112744326,54541943,08/02/2023,1686,Lora Umpleby,03/04/1952,07470603316,953 Pierstorff Court,11438427,Basic,31/01/2023,484.08
8657927187,11110085,14/02/2023,1397.8,Leigh Slimings,12/11/2002,07112224952,5841 Florence Circle,11662506,Basic,31/01/2023,573.89
9845010989,32991596,11/02/2023,1851.4,Meghann Tucker,30/01/1938,07367647078,5 Beilfuss Court,11736814,Basic,31/01/2023,381.51
6732430556,60114464,10/02/2023,1640.4,Harrietta McIlwrath,12/05/1971,07319685775,88637 Rutledge Point,11846043,Basic,31/01/2023,915.59
3548407560,57084496,01/02/2023,1058.7,Maggi Huard,01/08/1935,07487245589,51 7th Place,11882775,Basic,31/01/2023,299.41
