id,first_name,last_name,Ticker,Sector,Market,Stock Name,Market Cap,Purchase Price
1,Hinze,Bartak,CYRXW,Transportation,NASDAQ,"CryoPort, Inc.",n/a,$6947.28
2,Lelia,Gresley,GILD,Health Care,NASDAQ,"Gilead Sciences, Inc.",$83.79B,$77627.18
3,Leicester,Roff,NMZ,n/a,NYSE,Nuveen Municipal High Income Opportunity Fund,$794.98M,$40676.73
4,Baxy,Fieller,USB^A,Finance,NYSE,U.S. Bancorp,n/a,$42441.50
5,Julita,Spradbery,INSI,n/a,NYSE,Insight Select Income Fund,$211.52M,$41908.66
6,Steven,McGrale,AP,Capital Goods,NYSE,Ampco-Pittsburgh Corporation,$175.48M,$163.84
7,Baldwin,Lukas,TCBIW,Finance,NASDAQ,"Texas Capital Bancshares, Inc.",n/a,$99987.31
8,Elly,Dono,SCM,n/a,NYSE,Stellus Capital Investment Corporation,$213.68M,$55985.51
9,Guilbert,Fretter,CHSCM,Consumer Services,NASDAQ,CHS Inc,$542.67M,$79606.74
10,Raddy,Bielfelt,FRC^D,n/a,NYSE,FIRST REPUBLIC BANK,n/a,$6440.24
11,Maurie,Grigoli,JMBA,Consumer Services,NASDAQ,"Jamba, Inc.",$107.46M,$88103.50
12,Othilia,Ortler,FLOW,Technology,NYSE,"SPX FLOW, Inc.",$1.64B,$9811.38
13,Fernande,Lavallie,TCO^K,n/a,NYSE,"Taubman Centers, Inc.",n/a,$36062.77
14,Erminie,Lis,JHD,n/a,NYSE,Nuveen High Income December 2019 Target Term Fund,$277.1M,$24418.39
15,Melva,Fennelow,COO,Health Care,NYSE,"Cooper Companies, Inc. (The)",$11.67B,$30866.15
16,Jacinta,Shorland,USNA,Consumer Durables,NYSE,"USANA Health Sciences, Inc.",$1.6B,$26252.35
17,Ive,Southcombe,CAKE,Consumer Services,NASDAQ,The Cheesecake Factory Incorporated,$2.54B,$10112.30
18,Dyanne,Dalgliesh,TGNA,Consumer Services,NYSE,TEGNA Inc.,$3.26B,$69444.60
19,Allegra,Rochelle,LYG,Finance,NYSE,Lloyds Banking Group Plc,$63.77B,$46419.80
20,William,Radborne,PKI,Capital Goods,NYSE,"PerkinElmer, Inc.",$7B,$85233.21
