Account Number,Balance Date,Transaction Value,Balance
10005367,31/01/2023,,728.25
10005367,02/02/2023,-1097.6,-369.3499999999999
10005367,04/02/2023,144.75,-224.5999999999999
10005367,04/02/2023,-67.01,-291.6099999999999
10005367,05/02/2023,-108.26,-399.8699999999999
10005367,08/02/2023,941.0,541.1300000000001
10005367,08/02/2023,-65.49,475.6400000000001
10005367,10/02/2023,-27.61,448.0300000000001
10005367,11/02/2023,137.25,585.2800000000001
10011977,31/01/2023,,676.54
10011977,02/02/2023,-51.0,625.54
10011977,03/02/2023,120.88,746.42
10011977,04/02/2023,58.05,804.4699999999999
10011977,04/02/2023,-170.56,633.91
10011977,04/02/2023,-189.38,444.53
10011977,05/02/2023,-124.61,319.91999999999996
10011977,08/02/2023,133.74,453.65999999999997
10011977,10/02/2023,-103.55,350.10999999999996
10011977,11/02/2023,-43.89,306.21999999999997
10011977,14/02/2023,1100.7,1406.92
10024680,31/01/2023,,567.46
10024680,01/02/2023,-153.43,414.03000000000003
10024680,03/02/2023,676.5,1090.53
10024680,07/02/2023,-91.92,998.61
10024680,07/02/2023,-127.45,871.16
10024680,08/02/2023,-138.18,732.98
10031238,31/01/2023,,576.52
10031238,05/02/2023,121.7,698.22
10031238,05/02/2023,-110.07,588.15
10031238,09/02/2023,-35.39,552.76
10031238,10/02/2023,65.02,617.78
10031238,10/02/2023,-160.6,457.18
10031238,11/02/2023,-157.96,299.22
10034341,31/01/2023,,390.39
10034341,03/02/2023,1566.6,1956.9899999999998
10034341,05/02/2023,-217.15,1739.8399999999997
10034341,08/02/2023,-110.25,1629.5899999999997
10034341,12/02/2023,123.13,1752.7199999999998
10034341,14/02/2023,-74.72,1677.9999999999998
10079965,31/01/2023,,799.27
10079965,03/02/2023,156.35,955.62
10079965,08/02/2023,-63.9,891.72
10079965,08/02/2023,-132.2,759.52
10079965,08/02/2023,-442.3,317.21999999999997
10091076,31/01/2023,,831.83
10091076,01/02/2023,75.45,907.2800000000001
10091076,01/02/2023,-18.77,888.51
10091076,01/02/2023,-83.96,804.5500000000001
10091076,05/02/2023,53.92,858.47
10091076,14/02/2023,53.72,912.19
10091076,14/02/2023,-10.22,901.97
10231977,31/01/2023,,61.63
10231977,01/02/2023,116.0,177.63
10231977,08/02/2023,-68.31,109.32
10231977,09/02/2023,-1410.1,-1300.78
10231977,14/02/2023,78.92,-1221.86
10231977,14/02/2023,-723.4,-1945.26
10232603,31/01/2023,,732.55
10232603,01/02/2023,125.68,858.23
10232603,02/02/2023,-1190.9,-332.6700000000001
10232603,04/02/2023,-888.9,-1221.5700000000002
10232603,06/02/2023,88.22,-1133.3500000000001
10232603,07/02/2023,-185.47,-1318.8200000000002
10232603,10/02/2023,85.03,-1233.79
10232603,10/02/2023,-1128.4,-2362.19
10243581,31/01/2023,,104.27
10243581,04/02/2023,-109.65,-5.38000000000001
10243581,06/02/2023,-78.93,-84.31000000000002
10243581,10/02/2023,83.3,-1.0100000000000193
10243581,12/02/2023,-1482.9,-1483.91
10243581,13/02/2023,-20.17,-1504.0800000000002
10243581,14/02/2023,-134.51,-1638.5900000000001
10271519,31/01/2023,,50.02
10271519,03/02/2023,2285.6,2335.62
10271519,03/02/2023,95.05,2430.67
10271519,03/02/2023,17.57,2448.24
10271519,03/02/2023,-100.99,2347.25
10271519,11/02/2023,-89.55,2257.7
10271519,12/02/2023,98.81,2356.5099999999998
10271519,12/02/2023,76.71,2433.22
10273387,31/01/2023,,581.83
10273387,03/02/2023,113.03,694.86
10273387,03/02/2023,-556.5,138.36
10273387,06/02/2023,181.24,319.6
10273387,07/02/2023,-38.41,281.19000000000005
10273387,08/02/2023,-140.45,140.74000000000004
10273387,10/02/2023,138.8,279.5400000000001
10273387,10/02/2023,-71.11,208.43000000000006
10273387,12/02/2023,130.68,339.11000000000007
10273387,14/02/2023,278.4,617.51
10288821,31/01/2023,,642.41
10288821,07/02/2023,-151.7,490.71
10288821,11/02/2023,85.41,576.12
10288821,12/02/2023,228.52,804.64
10288821,14/02/2023,94.21,898.85
10295384,31/01/2023,,153.85
10295384,03/02/2023,10.64,164.49
