Account Number,Balance Date,Transaction Value,Balance
44873253,07/02/2023,-113.43,522.41
17938672,01/02/2023,102.95,1007.94
29358670,13/02/2023,-56.85,-39.49
32803222,13/02/2023,96.06,1059.24
83975923,31/01/2023,,837.45
68786878,14/02/2023,-58.68,643.02
90745743,11/02/2023,-9.21,424.9
56458213,31/01/2023,,731.3
35721788,07/02/2023,166.27,2409.91
50161801,31/01/2023,,180.69
42017456,04/02/2023,-132.12,759.57
98886699,31/01/2023,,300.31
22846221,31/01/2023,,868.2
11067879,07/02/2023,-123.45,-49.88
27870202,03/02/2023,111.04,397.21
27596004,01/02/2023,36.3,1704.1
95642341,01/02/2023,546.3,1242.18
55513887,02/02/2023,-116.43,606.02
12111805,14/02/2023,-94.45,491.41
10295384,03/02/2023,10.64,164.49
97970258,31/01/2023,,309.14
35177782,11/02/2023,99.42,280.83
90118682,13/02/2023,-4.66,1.54
15334737,07/02/2023,63.12,301.05
84366763,31/01/2023,,734.48
82303710,14/02/2023,208,1043.44
31557275,11/02/2023,-166.3,56.94
12423613,02/02/2023,-1805.5,-1346.32
44130477,08/02/2023,137.66,1611.89
73410227,12/02/2023,-107.09,584.54
14086187,04/02/2023,146.29,1204.21
29631870,02/02/2023,78.61,1911.6
57300901,12/02/2023,100.81,-835.29
63959769,12/02/2023,-541.9,464.71
38991889,12/02/2023,129,102.02
22696687,08/02/2023,-79.86,206.66
69533742,01/02/2023,1397.4,2209.6
62477219,08/02/2023,-99.5,616.17
58306431,31/01/2023,,576.56
30030650,31/01/2023,,414.27
89438779,12/02/2023,-69.44,297.43
90090889,12/02/2023,-190.9,-815.98
81267006,31/01/2023,,425.16
18718399,10/02/2023,1800.7,3011.38
25522226,06/02/2023,-161.37,1770.35
67029298,07/02/2023,21.61,1009.51
83854141,05/02/2023,26.38,107.93
25110012,09/02/2023,-118.7,56.16
54067346,11/02/2023,-158.58,1903.45
78807944,13/02/2023,92.53,576.03
86788651,31/01/2023,,593.38
65579734,12/02/2023,-156.13,1173.92
80811957,13/02/2023,40.65,154.3
85493851,06/02/2023,1.46,676.78
78343618,31/01/2023,,30.43
80355773,03/02/2023,-5.38,985.49
21032760,13/02/2023,161.21,-2738.42
30227774,09/02/2023,89.75,584.16
43830772,31/01/2023,,158.17
82263080,03/02/2023,-180.52,748.02
67987326,31/01/2023,,161.67
61555609,13/02/2023,1503.2,1845.6
21719977,31/01/2023,,758.81
59984692,14/02/2023,7.29,-221.94
71183710,31/01/2023,,989.68
62362650,05/02/2023,118.78,432.7
30929422,31/01/2023,,161.53
53089607,12/02/2023,-137.14,724.49
64303157,06/02/2023,-128.12,560.94
27193025,10/02/2023,44.74,114.57
59198134,13/02/2023,-135.45,51.48
21655728,11/02/2023,56.37,817.68
21475060,12/02/2023,-1061.5,-1215.84
33749113,12/02/2023,126.93,348.13
73015538,09/02/2023,107.47,140.71
26115121,03/02/2023,-84.79,526.49
23935849,14/02/2023,42.9,1226.4
33967237,01/02/2023,142.15,466.95
20991411,06/02/2023,-111.33,461.31
14448009,02/02/2023,122.38,1014.53
18348734,02/02/2023,-950.2,-517.85
18584434,05/02/2023,-122.62,635.1
28247818,07/02/2023,126.45,418.13
56189750,07/02/2023,-121.65,243.83
16030234,01/02/2023,-189.32,-107.58
81340143,31/01/2023,,647.34
22888798,08/02/2023,-53.66,566.64
43811112,02/02/2023,-97.69,2.23
67938929,03/02/2023,-61.92,791.17
70385129,31/01/2023,,252.45
70925461,08/02/2023,-103.89,208.68
39161053,14/02/2023,-114.68,839.71
68346907,08/02/2023,43.89,-203.57
45706674,31/01/2023,,390.73
60730902,10/02/2023,192.26,151.87
43329727,04/02/2023,-96.31,381.38
42726928,12/02/2023,187.21,552.06
56116199,31/01/2023,,615.98
41036701,09/02/2023,109.88,-443.43
76857747,31/01/2023,,952.88
35405748,02/02/2023,1666,1685.49
92232319,10/02/2023,67.69,195.22
25522226,11/02/2023,158.64,2110.86
67938929,03/02/2023,110.43,853.09
28976546,05/02/2023,59.2,384.62
89369216,06/02/2023,-87.82,275.16
44272912,07/02/2023,-18.61,1030.11
46561814,07/02/2023,-185.39,89.17
12199229,11/02/2023,-31.4,742.13
66667727,04/02/2023,-201.15,522.75
50463777,04/02/2023,-83.95,59.5
30110747,10/02/2023,-37.83,765.29
14144267,06/02/2023,44.47,142.16
16191280,07/02/2023,113.55,1626.88
18451683,13/02/2023,62.08,-291.16
93707181,05/02/2023,87.06,653.42
30647433,10/02/2023,104.39,-38.05
24198488,05/02/2023,133.57,542.94
20878023,08/02/2023,-107.64,287.12
16013218,06/02/2023,1436.4,1842.92
17024652,31/01/2023,,918.84
65429379,09/02/2023,118.21,328.03
81245588,10/02/2023,83.51,773.46
52747145,04/02/2023,163.28,602.19
18582171,05/02/2023,122.01,745.14
92319358,09/02/2023,-625.1,2074.5
50024545,07/02/2023,-113.13,838.87
85652943,02/02/2023,-95.52,328.98
31541158,13/02/2023,-110.17,192.05
80168427,01/02/2023,-181.06,-243.27
17983851,09/02/2023,-67.11,1856.42
36696277,01/02/2023,153.43,548.85
70221848,03/02/2023,175.55,796.29
12666385,04/02/2023,1593.8,2500.64
99791709,04/02/2023,-2.86,65.69
10949168,07/02/2023,71.99,310.17
77587664,12/02/2023,72.94,762.34
31183587,13/02/2023,-76.49,1127.73
92221411,04/02/2023,72.06,775.84
15826579,11/02/2023,1137.9,-620.51
61423373,10/02/2023,-655.8,-979.93
94331180,13/02/2023,-70.85,-40.5
75692380,12/02/2023,76.48,567.47
35445202,04/02/2023,-95.01,1015.81
26102798,09/02/2023,-108.34,-606.95
43811112,13/02/2023,65.54,59.63
42752982,31/01/2023,,526.19
96153427,07/02/2023,85.35,314.32
86020532,12/02/2023,44.97,1042.13
85724829,13/02/2023,39.15,640.15
57436108,02/02/2023,49.76,949.22
31392168,10/02/2023,143.84,752.57
72809943,06/02/2023,-57.47,681.4
97970258,08/02/2023,-64.87,8.86
88681540,13/02/2023,144.82,531.68
76256026,07/02/2023,-62.85,-698.24
60916657,05/02/2023,-76.57,934.35
11846043,31/01/2023,,915.59
56842874,31/01/2023,,22.02
39516203,03/02/2023,129.19,818.38
50693024,09/02/2023,-54.92,279.43
90336689,02/02/2023,169.64,1017.52
10231977,08/02/2023,-68.31,109.32
80291188,01/02/2023,70.27,408.92
31759645,10/02/2023,-150.77,-749.38
83698413,07/02/2023,113.6,337.27
66152145,31/01/2023,,83.45
55791547,07/02/2023,-85.35,672.82
62222306,02/02/2023,-108.46,195.99
53089607,02/02/2023,147.42,877.18
92898446,09/02/2023,-132.58,119.84
85362253,08/02/2023,92.43,658.81
93388304,11/02/2023,-3.02,495.03
44378133,01/02/2023,-12.5,708.71
57096259,02/02/2023,168.98,709.52
85493851,14/02/2023,93.61,590
46561814,09/02/2023,124.56,-0.44
48318402,04/02/2023,-44.62,920.66
56453199,08/02/2023,-105.53,428.63
68689742,07/02/2023,56.42,223.5
87533652,14/02/2023,81.26,369.32
53887772,06/02/2023,-114.95,190.82
87504607,11/02/2023,-83.49,842.85
14749214,07/02/2023,-145.52,98.34
25768265,02/02/2023,-1902.2,-1199.98
51325070,01/02/2023,104.85,1038.25
15468532,09/02/2023,132.75,771.45
63845700,02/02/2023,-184.44,672.51
58930654,31/01/2023,,661.48
87543952,09/02/2023,125.94,123.95
43368978,11/02/2023,64.21,-122.74
75573750,31/01/2023,,159.92
38316158,05/02/2023,92.28,532.83
46215382,04/02/2023,-57.41,-1306.1
86268635,02/02/2023,77.54,756.86
79033058,13/02/2023,-47.82,-216.63
66706067,11/02/2023,-52.74,-214.32
54452317,05/02/2023,56.72,381.42
90313378,03/02/2023,-99.93,1266.67
64526097,13/02/2023,157.41,998.27
43387803,10/02/2023,-113.99,782.92
67466632,11/02/2023,-196.49,-582.7
15296624,31/01/2023,,731.68
77880852,04/02/2023,55.7,2322.23
12666385,12/02/2023,149.57,2650.21
57186194,14/02/2023,-756.9,-234.32
66449974,12/02/2023,-1265.1,-381.73
25110012,31/01/2023,,300.03
20248053,14/02/2023,-114.98,431.13
39620163,14/02/2023,-99.23,-308.6
77668890,13/02/2023,-98.34,646.66
34128127,11/02/2023,-45.02,1311.96
93076057,04/02/2023,87.35,449.73
43420385,02/02/2023,117.9,999.39
96605778,09/02/2023,75.39,152.36
70163139,11/02/2023,100.86,1225.42
69533742,06/02/2023,129.51,2085.01
22268314,31/01/2023,,153.05
97581232,07/02/2023,135.32,744.21
18685463,31/01/2023,,476.02
74770758,31/01/2023,,643.52
54377538,02/02/2023,75.99,921.92
48940493,02/02/2023,217.51,611.7
84411377,12/02/2023,-351.6,631.16
39504855,14/02/2023,-72.35,1777.72
40189934,04/02/2023,-1705.8,922.71
19876635,11/02/2023,147.81,476.8
86131065,09/02/2023,-73.98,912.61
95277712,11/02/2023,-133.67,72.67
35160368,01/02/2023,41.55,95.14
63381038,13/02/2023,151.93,762.9
41282329,09/02/2023,-112.38,1611.07
25240031,02/02/2023,140.31,660.6
65200379,03/02/2023,37.15,41.42
67674594,01/02/2023,61.16,187.32
60189055,05/02/2023,-62.74,194.32
80761210,31/01/2023,,545.59
50627436,08/02/2023,473.2,841.02
97328154,09/02/2023,135.18,357.93
52117174,31/01/2023,,932.96
36425954,04/02/2023,150.84,98.1
14685853,04/02/2023,109.08,11.91
46597215,09/02/2023,-11.47,1805.97
12388837,07/02/2023,65.45,400.81
68393439,02/02/2023,-174.74,746.06
68198696,05/02/2023,27.36,1006.82
57450523,11/02/2023,-77.75,591.44
38502892,06/02/2023,-62.08,538.24
76662799,09/02/2023,70.71,122.72
51471469,12/02/2023,-50.94,-1268.06
23333877,09/02/2023,166.64,873.48
15428008,07/02/2023,-199.86,-68.84
41706310,05/02/2023,89.54,404.92
44902994,05/02/2023,99.16,-353.39
29000698,12/02/2023,191.61,1109.66
94044891,13/02/2023,-112.88,333.49
84969883,14/02/2023,-117.34,289.78
51504474,09/02/2023,134.52,-784.07
98717357,06/02/2023,-104,-1493.45
75762044,05/02/2023,80.83,1561.14
65097827,09/02/2023,102.14,1250.65
39386771,04/02/2023,-94.61,89.05
46442210,02/02/2023,-118.22,613.92
66896515,05/02/2023,-190.01,1176.14
92943637,02/02/2023,-140.57,-112.34
47781255,14/02/2023,124.48,747.99
12185627,13/02/2023,-91.8,1274.8
50887252,14/02/2023,-129.59,1672.45
77722115,05/02/2023,80.56,746.8
75027308,31/01/2023,,307.44
57450523,03/02/2023,82.41,691.82
27389680,31/01/2023,,815.68
21711501,03/02/2023,-1882.4,-1629.41
37164421,03/02/2023,145.42,448.1
99685765,09/02/2023,34.17,-900.01
41584073,10/02/2023,133.89,625.82
27600956,04/02/2023,33.69,118.08
85551186,09/02/2023,99.59,-87.54
72466733,31/01/2023,,580.24
66239954,12/02/2023,-48.67,437.35
71293250,11/02/2023,-99.36,791.02
80291188,11/02/2023,-75.48,199.76
23231848,06/02/2023,-97.52,-2019.68
78541427,14/02/2023,-95.3,-1584.08
69315008,01/02/2023,-72.79,1902.89
86728138,04/02/2023,-214.78,-39.42
92944470,12/02/2023,110.14,705.2
67147649,14/02/2023,98.34,1686.02
52835507,05/02/2023,109.41,296.41
50324230,05/02/2023,-64.51,880.64
30058030,12/02/2023,89.64,167.21
13076932,02/02/2023,-125.46,294.01
23962863,03/02/2023,-43.61,-336.34
18928638,02/02/2023,-162.41,-11.46
58547184,05/02/2023,83.83,1935.68
33771855,31/01/2023,,886.78
43312288,08/02/2023,110.55,631.24
24715803,31/01/2023,,684.75
80761210,07/02/2023,-105.09,310.13
73234341,31/01/2023,,811.71
73410227,06/02/2023,52.84,653.49
94044891,06/02/2023,57.47,446.37
62320219,05/02/2023,-49.95,382.41
86272488,14/02/2023,88.35,10.65
31774984,08/02/2023,164.7,1378.33
