Account Number,Transaction Value,Balance
30557885,,615.82
34284479,,74.46
48722022,123.96,710.4
62567104,-124.73,-70.78
84295462,913.5,1067.53
26958171,,837.04
43032836,217.86,604.69
47406737,844.6,1807.74
77917083,,929.41
22292682,-130.44,743.88
27357010,,579.29
58249518,,14.63
76245103,,814.75
24150990,,365.31
74822001,,673.61
24308337,,764.57
43979238,170.96,239.04
49095464,-54.73,-53.43
58265755,156.89,650.94
70351135,3.89,173.49
83981442,,89.35
88831746,,565.27
13965360,,299.46
42889744,,223.01
45519330,-261.71,578.51
25406407,56.06,450.11
56422161,,990.84
60184250,,70.89
76099143,,525.4
76720959,,436.06
97328154,,535.51
21749252,50.95,697.22
50547726,,675.06
67466632,126.75,476.81
76662799,-84.07,212.61
78584818,,723.21
92155262,,501.67
93147630,,403.93
26979446,18.27,167.92
31367758,89.01,625.17
75468090,,984.92
89117536,,123.22
49696722,,142.69
72934756,741.76,1571.31
82930132,,131.87
84853260,,925.31
16977372,-181.11,494.39
35948735,,117.14
53887772,,541.43
78257880,,933.22
32386770,-56.55,582.9
50024545,,867.21
86068003,,567.14
72050477,,95.87
77026279,,126.05
43329727,,477.69
45021398,,783.24
57148382,81.16,719.65
13176075,,67.3
32312381,-96.77,646.08
77646359,,434.93
80808205,-88.1,192.82
88558016,,156.64
68793483,,581.36
11717885,,6.06
17722231,-67.01,877.21
52996436,86.03,969.38
71562080,,352.05
23942646,82.42,600.35
94409941,-92.51,550.32
26643616,-46.93,213.17
75394177,23.19,214.23
50959802,-97.11,724.26
77241606,,761.38
92212099,,584.21
57886631,,369.6
81336389,119.5,329.56
83539050,,172.33
94566140,,31.61
22483300,,763.23
57273397,,403.21
85128569,,340.68
15980710,,955.7
53046005,36.43,706.25
75969874,,454.25
77418940,,263.71
92872571,96.06,1029.09
48654969,,83.93
66332583,,241.29
86655008,31.17,702.89
20248053,,565.28
31978646,,393.51
25677428,,307.44
29074095,86.91,599.29
42322494,,486.58
74709026,,465.39
75687743,,668.39
95452518,,390.37
97624673,,481.09
19432211,,24.19
29527534,,355.57
45631973,-187.01,575.69
59405362,213.41,717.3
67147649,,3.28
74252410,-184.62,93.85
75355842,,621.95
31826534,,541.64
85940057,1069.7,1591.07
16063411,,896.73
34351752,,30.31
36389309,,469.45
