Account Number,Transaction Value,Balance
10005367,,728.25
10011977,,676.54
10024680,-153.43,414.03
10031238,,576.52
10034341,,390.39
10079965,,799.27
10091076,-27.279999999999987,804.55
10231977,116.0,177.63
10232603,125.68,858.23
10243581,,104.27
10271519,,50.02
10273387,,581.83
10288821,,642.41
10295384,,153.85
10350324,,861.81
10437896,,661.08
10449180,48.99,277.23
10464544,-89.56,666.43
10473116,-94.91,292.79
10521885,43.55,98.42
10553619,-40.58999999999999,715.61
10554116,-121.83,122.12
10586481,,73.83
10608220,-55.919999999999995,577.0
10631690,,947.45
10675607,-114.21,170.63
10725127,,984.69
10769769,-93.28,813.63
10783139,,992.98
10799356,,915.04
10819898,103.68,853.93
10842511,,651.77
10847941,,40.25
10864084,,119.98
10942334,,55.42
10949168,,471.8
10989769,,334.18
11008868,,271.3
11026937,,303.44
11061291,-162.41,-89.71
11067879,-625.59,-144.03
11110085,,861.29
11150945,-105.10000000000002,753.73
11228111,-142.2,-11.84
11242986,-160.4,184.28
11251776,,504.02
11302888,,458.83
11306584,52.0,574.4
11333185,,693.23
11346696,,661.99
11359678,,837.17
11360263,100.02,236.81
11368995,-63.48,502.32
11437275,,115.34
11438427,,484.08
11463412,,342.53
11475827,48.39,412.27
11522216,,590.37
11662506,-167.85,406.04
11694020,,379.2
11717885,,6.06
11728970,,711.65
11736814,,381.51
11744491,255.14999999999998,361.07
11764022,-117.24,169.42
11778031,,514.7
11790056,24.480000000000004,74.18
11804173,,353.62
11826060,,782.13
11831265,-335.84000000000003,-43.7
11836917,-138.19,511.95
11846043,,915.59
11882775,-1164.33,-864.92
11910409,-80.43,160.79
11928523,,818.51
12035637,,461.35
12042151,,336.44
12088180,,656.51
12099406,-94.97,586.14
12111805,110.9,1001.89
12172627,,550.41
12185627,,873.23
12198380,,445.46
12199229,,804.0
12233762,,386.05
12240007,,894.48
12241820,,207.29
12388837,,463.31
12420291,,578.47
12423613,,459.18
12440230,,842.67
12493067,,404.61
12494185,,762.16
12499656,243.93,340.2
12560453,147.6,232.63
12583269,,910.46
12666385,352.59999999999997,906.84
12680102,,674.64
12725274,167.85,194.04
12859818,89.22,240.28
12899540,-83.35,873.85
12964138,46.13,603.17
12985543,-140.27,262.67
13058003,,218.0
13076932,,419.47
13117442,,799.69
13167285,-203.88,98.05
13176075,,67.3
13182613,,384.42
13197335,184.28,809.99
13267945,,299.77
13274987,-33.51,868.55
13277127,,793.22
13322659,-153.9,536.37
13388069,,13.45
13426667,,70.47
13459523,,814.31
13474543,120.92,559.28
13537427,52.56,609.54
13551717,-1361.0,-1334.05
13558846,-43.730000000000004,554.72
13563384,,952.65
13584908,,162.0
13610259,,587.73
13687711,,757.76
13713704,,1.48
13788234,,302.78
13945841,473.7,813.51
13965360,,299.46
13997603,,516.79
14000447,97.79,541.73
14014401,,554.46
14039438,,94.52
14045416,-53.46,212.17
14052052,,915.74
14086187,,340.59
14103210,,369.01
14136082,82.18,302.02
14144267,,97.69
14183437,,779.47
14253152,,43.85
14337606,,561.8
14355869,-1052.6,-723.44
14397662,,363.51
14421453,150.38,964.14
14448009,-210.36,748.1
14505806,974.4,1663.65
14564252,,263.39
14592080,,245.22
14594928,,470.64
14600288,,622.77
14648004,14.790000000000006,251.46
14685853,-142.37,-97.17
14723713,,378.07
14749214,,194.54
14780986,105.85,286.05
14812157,645.5,1180.04
14840078,-118.24,465.92
14866733,-77.78,171.57
14897645,113.69,202.69
14907946,,845.72
15033812,,504.58
15044055,,204.3
15052808,,786.05
15055504,,339.94
15077298,-158.57,349.05
15100785,,934.1
15163829,,458.6
15258886,-124.86,564.48
15265650,146.1,293.82
15265700,19.88,849.74
15290238,83.96,177.19
15296624,-138.91,592.77
15324178,,833.62
15334737,217.35,414.47
15377274,,902.14
15428008,,131.02
15468532,,819.87
15522788,-101.62,52.64
15529292,-117.6,265.35
15563919,-90.71,401.63
15665459,,68.94
15668160,,810.02
15732629,,975.81
15768459,,997.4
15779976,,129.01
15793232,,45.88
15796180,,755.58
15801209,-695.3,-686.46
15805500,,230.39
15810455,,81.69
15826579,-948.2,-351.43
15830962,,570.89
15841031,,579.98
15899774,,773.38
15914466,,436.62
15918861,,781.97
15922706,,478.87
15944303,,977.44
15960008,,455.42
15980710,,955.7
16013218,,322.63
16026987,,772.57
16030234,-282.13,-107.58
16063411,,896.73
16067516,,494.33
16087504,144.25,200.9
16093178,,96.62
16118153,,829.58
16124993,,148.14
16152779,227.37,292.46
16157014,99.09,957.82
