id,first_name,last_name,Ticker,Sector,Market,Stock Name,Market Cap,Purchase Price
1,Emilia,Massey,AFHBL,Finance,NASDAQ,"Atlas Financial Holdings, Inc.",n/a,$60495.22
2,Julee,Runnacles,BPL,Energy,NYSE,Buckeye Partners L.P.,$8.62B,$74395.94
3,Burty,Fairy,PBI^B,n/a,NYSE,Pitney Bowes Inc.,n/a,$22159.23
4,Gayel,Keigher,CYOU,Technology,NASDAQ,Changyou.com Limited,$2.05B,$76973.64
5,Bernard,Cadd,LBAI,Finance,NASDAQ,"Lakeland Bancorp, Inc.",$937.55M,$80423.62
6,Jenn,Radwell,VTTI,Energy,NYSE,VTTI Energy Partners LP,$893.84M,$71325.13
7,Elianore,Treanor,CAL,Consumer Non-Durables,NYSE,"Caleres, Inc.",$1.15B,$1058.39
8,Dyann,McKeaveney,BCEI,Energy,NYSE,"Bonanza Creek Energy, Inc.",$636.43M,$40207.17
9,Pammy,Issakov,ENT,Consumer Services,NASDAQ,Global Eagle Entertainment Inc.,$269.58M,$86653.94
10,Velma,Bignall,FTW,n/a,NASDAQ,First Trust Taiwan AlphaDEX Fund,$3.5M,$83463.67
11,Alexis,Minerdo,ANGI,Consumer Services,NASDAQ,"Angie's List, Inc.",$730.37M,$70375.70
12,Steffane,Birmingham,AHPAU,Finance,NASDAQ,Avista Healthcare Public Acquisition Corp.,n/a,$56655.72
13,Imogen,Roff,ACWI,n/a,NASDAQ,iShares MSCI ACWI Index Fund,$6.84B,$92889.62
14,Amitie,Mather,CVX,Energy,NYSE,Chevron Corporation,$205.28B,$20087.02
15,Calida,Kilgrew,MMP,Energy,NYSE,Magellan Midstream Partners L.P.,$15.92B,$91369.76
16,Marven,Camps,PUMP,Energy,NYSE,ProPetro Holding Corp.,$1.12B,$3977.41
17,Clarey,Simmgen,PI,Capital Goods,NASDAQ,"Impinj, Inc.",$1.15B,$35034.23
18,Donna,Judson,HPE,Technology,NYSE,Hewlett Packard Enterprise Company,$27.09B,$47450.19
19,Jackie,Beynon,DDR^J,n/a,NYSE,DDR Corp.,n/a,$79247.93
20,Lorrayne,O'Dwyer,AMKR,Technology,NASDAQ,"Amkor Technology, Inc.",$2.52B,$14785.23
21,Laureen,Driutti,TSRO,Health Care,NASDAQ,"TESARO, Inc.",$7.77B,$77743.01
22,Rozina,Boecke,WHLR,Consumer Services,NASDAQ,"Wheeler Real Estate Investment Trust, Inc.",$85.97M,$35817.42
23,Forest,Brennans,FISI,Finance,NASDAQ,"Financial Institutions, Inc.",$443.54M,$32087.77
24,Oralia,Baldin,FMCI,Finance,NASDAQ,Forum Merger Corporation,$217.09M,$33495.23
