Question Number,Answer,Country,Store,Name,Response,DoB
1,13/01/2020,England,Clapham,Ross,1,21/08/2002
1,07/01/2020,Ingland,Clapham,Ross,2,21/08/2002
1,5th Jan 2020,England,Clapham,Clare,3,23/09/1997
1,05/01/2020,England,Clapham,Juliana,4,09/10/1995
1,19/01/2020,Egland,Clapham,Juliana,5,09/10/1995
1,08/01/2020,3ngland,Clapham,Juliana,6,09/10/1995
1,04/01/2020,England,Wimbledon,Etienne,7,13/04/1990
1,Monday - 13th Jan,England,Wimbledon,Etienne,8,13/04/1990
1,2020/01/19,England,Wimbledon,Bona,9,20/02/2002
1,15/1/2020,Ingland,Peckham,Bona,10,20/02/2002
1,7 Dec 2019,Eggland,Peckham,Kamilla,11,09/07/2001
1,20th Jan 2020,England,Peckham,Gwilym,12,01/01/1970
1,20/01/2020,Scotland,Scotland,Lady MacBeth,13,05/10/1930
1,5/20/2019,United State,Lower East Side,James Cagney,14,
1,26/12/2019,United States,Lower East Side,Joe,15,13/11/1982
1,05/01/2020,Sc0tland,Scotland,Sylvie,16,16/07/1956
1,08/01/2016,ENGLAND,Putney,Anya,17,08/04/1955
1,20/01/2020,England,Putney,Angelos,18,03/11/1957
1,10/01/2020,ENGLAND,Putney,Alice,19,05/09/1998
1,05/01/2020,Scottish,Scotland,Sylvie,20,16/07/1956
1,24/01/2020,Ingland,Putney,Angelos,21,03/11/1957
1,21/01/2020,Netherlands,Utrecht,Bert,22,03/12/1975
1,01/01/2020,Netherlands,Amsterdam,Henk,23,01/08/1985
1,2020-01-12,The Netherlands,Amstelveen,Bas,24,22/09/1988
1,21/01/2020,Netherlands,Friesland,Andre,25,12/12/2000
1,21/01/2020,England,Putney,Jon,26,10/10/1992
1,01/01/2020,Netherlands,Amsterdam,Henk,27,01/08/1985
1,21/01/2020,England,Putney,Jon,28,10/10/1992
2,08:21,England,Clapham,Ross,1,21/08/2002
2,13:19,Ingland,Clapham,Ross,2,21/08/2002
2,21:31,England,Clapham,Clare,3,23/09/1997
2,13:03,England,Clapham,Juliana,4,09/10/1995
2,19:01,Egland,Clapham,Juliana,5,09/10/1995
2,22:09,3ngland,Clapham,Juliana,6,09/10/1995
2,09:13,England,Wimbledon,Etienne,7,13/04/1990
2,15:16,England,Wimbledon,Etienne,8,13/04/1990
2,3.10 am,England,Wimbledon,Bona,9,20/02/2002
2,19:27,Ingland,Peckham,Bona,10,20/02/2002
2,02:22,Eggland,Peckham,Kamilla,11,09/07/2001
2,1653,England,Peckham,Gwilym,12,01/01/1970
2,16:56,Scotland,Scotland,Lady MacBeth,13,05/10/1930
2,23:00,United State,Lower East Side,James Cagney,14,
2,14:14,United States,Lower East Side,Joe,15,13/11/1982
2,1.30pm,Sc0tland,Scotland,Sylvie,16,16/07/1956
2,14:23,ENGLAND,Putney,Anya,17,08/04/1955
2,2055,England,Putney,Angelos,18,03/11/1957
